""	"V1"
"Zm00001eb405960"	3.5030181279145e-06
"Zm00001eb090340"	3.55119868907199e-06
"Zm00001eb405670"	3.66034283127418e-06
"Zm00001eb138300"	3.75893818500297e-06
"Zm00001eb280470"	3.86000492436778e-06
"Zm00001eb393760"	3.86941322436354e-06
"Zm00001eb072120"	3.95802160191606e-06
"Zm00001eb006010"	4.09185426764777e-06
"Zm00001eb083940"	4.14696599682272e-06
"Zm00001eb371040"	4.21301723846292e-06
"Zm00001eb383350"	4.4075472218612e-06
"Zm00001eb138060"	4.41270684685527e-06
"Zm00001eb142080"	4.43418082942873e-06
"Zm00001eb178570"	4.46052717260922e-06
"Zm00001eb328720"	4.46088440341351e-06
"Zm00001eb404960"	4.57643848261819e-06
"Zm00001eb160640"	4.71403820585417e-06
"Zm00001eb098760"	4.73690741295953e-06
"Zm00001eb190490"	4.81505794030806e-06
"Zm00001eb381190"	4.82286593733297e-06
"Zm00001eb013870"	4.82724782759208e-06
"Zm00001eb220640"	4.83860125815936e-06
"Zm00001eb123280"	4.89052794385129e-06
"Zm00001eb306620"	4.96101247786642e-06
"Zm00001eb187880"	4.97895769452499e-06
"Zm00001eb341430"	4.98074125641136e-06
"Zm00001eb128790"	4.99696365344404e-06
"Zm00001eb214150"	5.08656457225847e-06
"Zm00001eb255670"	5.10183872004095e-06
"Zm00001eb064170"	5.12990700410135e-06
"Zm00001eb088450"	5.13440474388931e-06
"Zm00001eb365380"	5.15488808266905e-06
"Zm00001eb006600"	5.24396794153712e-06
"Zm00001eb423520"	5.3098417060039e-06
"Zm00001eb298050"	5.36718506650406e-06
"Zm00001eb294090"	5.43906970803983e-06
"Zm00001eb351560"	5.45559237197081e-06
"Zm00001eb205730"	5.57725732160651e-06
"Zm00001eb035340"	5.60199385566082e-06
"Zm00001eb264950"	5.61247734638391e-06
"Zm00001eb344610"	5.64577851365221e-06
"Zm00001eb148090"	5.64954701660256e-06
"Zm00001eb202450"	5.69819090735576e-06
"Zm00001eb422590"	5.7604663044085e-06
"Zm00001eb086470"	5.87512321034519e-06
"Zm00001eb243650"	5.92307214387355e-06
"Zm00001eb350190"	6.02065430285042e-06
"Zm00001eb000560"	6.08853476997831e-06
"Zm00001eb220190"	6.1410884648995e-06
"Zm00001eb319130"	6.18737497714951e-06
"Zm00001eb329350"	6.28592371701669e-06
"Zm00001eb411270"	6.62639175094252e-06
"Zm00001eb406820"	6.93596541759643e-06
"Zm00001eb097580"	6.95535656707381e-06
"Zm00001eb175180"	6.96213854822571e-06
"Zm00001eb070700"	7.00524527731662e-06
"Zm00001eb245110"	7.01893693223992e-06
"Zm00001eb288250"	7.0745548118516e-06
"Zm00001eb177450"	7.11035923400261e-06
"Zm00001eb241410"	7.21175776725129e-06
"Zm00001eb058890"	7.30259656265876e-06
"Zm00001eb145040"	7.31265854429959e-06
"Zm00001eb116790"	7.33437273986598e-06
"Zm00001eb180620"	7.5034173485395e-06
"Zm00001eb365130"	7.78138785545845e-06
"Zm00001eb142420"	7.87617534112944e-06
"Zm00001eb238120"	7.8855197023171e-06
"Zm00001eb057310"	7.95712488026623e-06
"Zm00001eb114660"	7.97314555088828e-06
"Zm00001eb354340"	8.15285381540249e-06
"Zm00001eb405940"	8.20044643166803e-06
"Zm00001eb386620"	8.36899090942406e-06
"Zm00001eb350540"	8.41579033817933e-06
"Zm00001eb216240"	8.58690960676188e-06
"Zm00001eb238870"	8.6062227664238e-06
"Zm00001eb410720"	8.62844690146565e-06
"Zm00001eb228720"	8.64230368837102e-06
"Zm00001eb072060"	8.67960318269336e-06
"Zm00001eb345190"	8.77020312667061e-06
"Zm00001eb060830"	9.11350416907343e-06
"Zm00001eb123700"	9.26816971137485e-06
"Zm00001eb133020"	9.3066165874147e-06
"Zm00001eb201190"	9.34445992659094e-06
"Zm00001eb070810"	9.35486809762621e-06
"Zm00001eb072040"	9.49154294006407e-06
"Zm00001eb431660"	9.51065409702833e-06
"Zm00001eb013230"	9.59097270757884e-06
"Zm00001eb287630"	9.6195648805701e-06
"Zm00001eb421670"	9.70504813692892e-06
"Zm00001eb351830"	9.73060283531795e-06
"Zm00001eb219810"	9.76365970708291e-06
"Zm00001eb383220"	9.84718934151324e-06
"Zm00001eb213210"	9.87744537159915e-06
"Zm00001eb372710"	9.97282988623273e-06
"Zm00001eb207730"	9.99084187067438e-06
"Zm00001eb358400"	1.00166288931905e-05
"Zm00001eb063810"	1.01436883334224e-05
"Zm00001eb172260"	1.02872661826137e-05
"Zm00001eb185180"	1.0466506880933e-05
"Zm00001eb335090"	1.04962961097052e-05
"Zm00001eb096760"	1.05522883335207e-05
"Zm00001eb198110"	1.05883238788321e-05
"Zm00001eb213810"	1.06307721218013e-05
"Zm00001eb411000"	1.06499695716473e-05
"Zm00001eb401360"	1.07508957459287e-05
"Zm00001eb410980"	1.07853024731751e-05
"Zm00001eb329320"	1.08292891308019e-05
"Zm00001eb419710"	1.09127690430687e-05
"Zm00001eb395350"	1.10074421417073e-05
"Zm00001eb167770"	1.10275026996713e-05
"Zm00001eb046090"	1.10673130622547e-05
"Zm00001eb378770"	1.10811975216124e-05
"Zm00001eb002910"	1.11917229149274e-05
"Zm00001eb094660"	1.12140932493278e-05
"Zm00001eb156880"	1.15884805146116e-05
"Zm00001eb140700"	1.1590651057625e-05
"Zm00001eb040640"	1.16108997641385e-05
"Zm00001eb068360"	1.16328953287846e-05
"Zm00001eb157240"	1.19380775550878e-05
"Zm00001eb058090"	1.2019570823555e-05
"Zm00001eb418530"	1.21069467939617e-05
"Zm00001eb070720"	1.21407401293016e-05
"Zm00001eb264460"	1.21426431013044e-05
"Zm00001eb069070"	1.2158806165781e-05
"Zm00001eb293720"	1.22078303795132e-05
"Zm00001eb327260"	1.24457163892456e-05
"Zm00001eb104360"	1.24559075181057e-05
"Zm00001eb219180"	1.2697808223728e-05
"Zm00001eb283430"	1.2818120011059e-05
"Zm00001eb094640"	1.29119393052039e-05
"Zm00001eb191440"	1.31940080480175e-05
"Zm00001eb285540"	1.32581576187155e-05
"Zm00001eb403760"	1.33452419449023e-05
"Zm00001eb051940"	1.33994049664833e-05
"Zm00001eb349530"	1.34064212831175e-05
"Zm00001eb396560"	1.34677988726473e-05
"Zm00001eb258700"	1.3544144081504e-05
"Zm00001eb114490"	1.36146946943849e-05
"Zm00001eb259500"	1.37283366821586e-05
"Zm00001eb376790"	1.3742453025926e-05
"Zm00001eb410280"	1.37942019384787e-05
"Zm00001eb363760"	1.38408580491186e-05
"Zm00001eb214470"	1.38969539845915e-05
"Zm00001eb278020"	1.39229987676119e-05
"Zm00001eb341700"	1.4101249307837e-05
"Zm00001eb399090"	1.42314059608127e-05
"Zm00001eb008490"	1.43243770969862e-05
"Zm00001eb319410"	1.44863948627515e-05
"Zm00001eb424040"	1.44968667623584e-05
"Zm00001eb364530"	1.49109338003543e-05
"Zm00001eb265350"	1.49996476570665e-05
"Zm00001eb209370"	1.50413524663724e-05
"Zm00001eb405290"	1.50575733737335e-05
"Zm00001eb289950"	1.51514820558363e-05
"Zm00001eb078400"	1.52139996203966e-05
"Zm00001eb247910"	1.53238927477298e-05
"Zm00001eb104050"	1.54358601880174e-05
"Zm00001eb094680"	1.54443148199061e-05
"Zm00001eb113720"	1.54636919964799e-05
"Zm00001eb072540"	1.55966471494402e-05
"Zm00001eb140980"	1.56204999261987e-05
"Zm00001eb016720"	1.58119696502753e-05
"Zm00001eb390620"	1.58575002855335e-05
"Zm00001eb070890"	1.58925436996412e-05
"Zm00001eb355900"	1.59751758555456e-05
"Zm00001eb343540"	1.60546983003386e-05
"Zm00001eb162890"	1.60589140710614e-05
"Zm00001eb272210"	1.61665816665276e-05
"Zm00001eb084750"	1.63025770138444e-05
"Zm00001eb281050"	1.64588392240066e-05
"Zm00001eb223960"	1.6506051582631e-05
"Zm00001eb169170"	1.69440381945803e-05
"Zm00001eb217210"	1.71551400938261e-05
"Zm00001eb358030"	1.72559695535804e-05
"Zm00001eb053510"	1.74231013485525e-05
"Zm00001eb211210"	1.75465605565394e-05
"Zm00001eb310850"	1.76334117412224e-05
"Zm00001eb228770"	1.78757343810484e-05
"Zm00001eb197290"	1.78972013897493e-05
"Zm00001eb189330"	1.80017099854833e-05
"Zm00001eb331160"	1.80038199945971e-05
"Zm00001eb091070"	1.81315222656633e-05
"Zm00001eb030630"	1.81577083753295e-05
"Zm00001eb351580"	1.82688520704021e-05
"Zm00001eb298620"	1.86265199183852e-05
"Zm00001eb160630"	1.86373657889746e-05
"Zm00001eb016400"	1.86833219466999e-05
"Zm00001eb400890"	1.87515487832668e-05
"Zm00001eb360080"	1.93644118104118e-05
"Zm00001eb127120"	1.95057594114149e-05
"Zm00001eb267220"	1.99731257541517e-05
"Zm00001eb397180"	2.07095242858167e-05
"Zm00001eb020240"	2.08328974737868e-05
"Zm00001eb042450"	2.09327015498116e-05
"Zm00001eb377240"	2.10042555781719e-05
"Zm00001eb422260"	2.10480296931425e-05
"Zm00001eb207940"	2.11907038253505e-05
"Zm00001eb188510"	2.1221017428129e-05
"Zm00001eb395850"	2.12223993388157e-05
"Zm00001eb359930"	2.12910298831867e-05
"Zm00001eb089490"	2.13484857775741e-05
"Zm00001eb420210"	2.13712520470077e-05
"Zm00001eb371750"	2.1512501944563e-05
"Zm00001eb112470"	2.15609028680784e-05
"Zm00001eb069060"	2.19708025405364e-05
"Zm00001eb117330"	2.20133828690673e-05
"Zm00001eb254930"	2.2270714526876e-05
"Zm00001eb305730"	2.24507160318118e-05
"Zm00001eb157020"	2.2479849470143e-05
"Zm00001eb217340"	2.25166986117481e-05
"Zm00001eb270000"	2.28193380786419e-05
"Zm00001eb232210"	2.28261981714953e-05
"Zm00001eb220110"	2.32186128704217e-05
"Zm00001eb217790"	2.32292524349806e-05
"Zm00001eb202510"	2.33380134827598e-05
"Zm00001eb183030"	2.33531932881625e-05
"Zm00001eb207270"	2.34057357823824e-05
"Zm00001eb096830"	2.37009650463516e-05
"Zm00001eb017450"	2.39336041852509e-05
"Zm00001eb014550"	2.39596504107522e-05
"Zm00001eb361660"	2.40073866659879e-05
"Zm00001eb415400"	2.40777288082099e-05
"Zm00001eb345080"	2.40839421852685e-05
"Zm00001eb425080"	2.41452996698348e-05
"Zm00001eb139960"	2.42271387391405e-05
"Zm00001eb424970"	2.43767939960552e-05
"Zm00001eb007930"	2.44563717065838e-05
"Zm00001eb348410"	2.44583808370187e-05
"Zm00001eb283760"	2.48306114435563e-05
"Zm00001eb054330"	2.49328202962291e-05
"Zm00001eb173770"	2.51666067580701e-05
"Zm00001eb424050"	2.53049171946107e-05
"Zm00001eb022020"	2.54148619869321e-05
"Zm00001eb307270"	2.56394235850716e-05
"Zm00001eb015860"	2.5711683472809e-05
"Zm00001eb114380"	2.59500520096555e-05
"Zm00001eb135810"	2.59534066631332e-05
"Zm00001eb417060"	2.61967533832469e-05
"Zm00001eb301130"	2.62171724083878e-05
"Zm00001eb173410"	2.633110173235e-05
"Zm00001eb024640"	2.64141896633125e-05
"Zm00001eb430980"	2.65654208339918e-05
"Zm00001eb433370"	2.66077416516476e-05
"Zm00001eb106080"	2.69766728101659e-05
"Zm00001eb264410"	2.69963208310383e-05
"Zm00001eb223600"	2.72789166067725e-05
"Zm00001eb299330"	2.74344330367951e-05
"Zm00001eb299100"	2.77216145734685e-05
"Zm00001eb333320"	2.77856546606833e-05
"Zm00001eb337980"	2.78503520115066e-05
"Zm00001eb344740"	2.78575492066524e-05
"Zm00001eb116670"	2.78838796948609e-05
"Zm00001eb224730"	2.79642020251907e-05
"Zm00001eb156390"	2.81209974972444e-05
"Zm00001eb212290"	2.83026715358162e-05
"Zm00001eb390940"	2.85367673701279e-05
"Zm00001eb127160"	2.89112613006304e-05
"Zm00001eb203380"	2.91040940553371e-05
"Zm00001eb288870"	2.93519688425539e-05
"Zm00001eb401280"	2.94061033246153e-05
"Zm00001eb027330"	2.94238389542069e-05
"Zm00001eb277460"	2.94952406871891e-05
"Zm00001eb019970"	2.9978613511381e-05
"Zm00001eb430950"	3.00584522925386e-05
"Zm00001eb383080"	3.02101044662528e-05
"Zm00001eb390290"	3.0266240842089e-05
"Zm00001eb049400"	3.03752894883537e-05
"Zm00001eb291040"	3.04182704921004e-05
"Zm00001eb416210"	3.0747669370122e-05
"Zm00001eb362350"	3.07562963191387e-05
"Zm00001eb400200"	3.08777644315713e-05
"Zm00001eb059760"	3.10262513615614e-05
"Zm00001eb416130"	3.14141861196478e-05
"Zm00001eb257740"	3.17380682939251e-05
"Zm00001eb100890"	3.2198956010167e-05
"Zm00001eb359020"	3.25850708717402e-05
"Zm00001eb171380"	3.25885602903233e-05
"Zm00001eb251920"	3.28279650503672e-05
"Zm00001eb195960"	3.28287974428625e-05
"Zm00001eb234950"	3.28734256241591e-05
"Zm00001eb043820"	3.30340435528389e-05
"Zm00001eb198090"	3.36279165109981e-05
"Zm00001eb121750"	3.38707523858212e-05
"Zm00001eb008410"	3.40558157315387e-05
"Zm00001eb371280"	3.42223205123327e-05
"Zm00001eb272850"	3.42457786921358e-05
"Zm00001eb244630"	3.43286004696766e-05
"Zm00001eb324130"	3.58630277121459e-05
"Zm00001eb172780"	3.60977927461356e-05
"Zm00001eb417550"	3.61248699756386e-05
"Zm00001eb074320"	3.61706698827254e-05
"Zm00001eb277430"	3.64847377341431e-05
"Zm00001eb163480"	3.6714077303078e-05
"Zm00001eb070730"	3.67974097342023e-05
"Zm00001eb407450"	3.74417468042106e-05
"Zm00001eb168640"	3.74993970128334e-05
"Zm00001eb019440"	3.75268520911212e-05
"Zm00001eb282540"	3.77014321000467e-05
"Zm00001eb426410"	3.78508102082206e-05
"Zm00001eb244880"	3.8268301204647e-05
"Zm00001eb104330"	3.84687428153172e-05
"Zm00001eb216350"	3.85297110357592e-05
"Zm00001eb210590"	3.85749513675219e-05
"Zm00001eb346050"	3.86534652584456e-05
"Zm00001eb236160"	3.8735265816917e-05
"Zm00001eb107440"	3.8753392955761e-05
"Zm00001eb330390"	3.87602278885446e-05
"Zm00001eb354650"	3.90624441731459e-05
"Zm00001eb328500"	3.90684672256996e-05
"Zm00001eb328630"	3.9390061223153e-05
"Zm00001eb315750"	3.97989333840152e-05
"Zm00001eb243100"	4.01669490865664e-05
"Zm00001eb121720"	4.02281634055005e-05
"Zm00001eb330110"	4.11415498238668e-05
"Zm00001eb212340"	4.11966570927494e-05
"Zm00001eb411430"	4.13007525566429e-05
"Zm00001eb063350"	4.13696981251834e-05
"Zm00001eb193020"	4.16631859415777e-05
"Zm00001eb425090"	4.19776016912689e-05
"Zm00001eb084730"	4.20454792245915e-05
"Zm00001eb370700"	4.21958289874799e-05
"Zm00001eb011810"	4.2210047450738e-05
"Zm00001eb069540"	4.26864199642299e-05
"Zm00001eb076020"	4.27187298332437e-05
"Zm00001eb402800"	4.30082215648502e-05
"Zm00001eb340570"	4.3066273629035e-05
"Zm00001eb093020"	4.31470135576529e-05
"Zm00001eb037350"	4.32719266267766e-05
"Zm00001eb390670"	4.34043121017412e-05
"Zm00001eb405250"	4.35740537896101e-05
"Zm00001eb427100"	4.37039873405433e-05
"Zm00001eb013540"	4.40687635436264e-05
"Zm00001eb349920"	4.4169729474529e-05
"Zm00001eb397510"	4.43342625674181e-05
"Zm00001eb097980"	4.44613962451917e-05
"Zm00001eb041680"	4.45407941048364e-05
"Zm00001eb217940"	4.45734144396185e-05
"Zm00001eb385430"	4.46697812644758e-05
"Zm00001eb060880"	4.47916823783676e-05
"Zm00001eb166420"	4.4822823148416e-05
"Zm00001eb323940"	4.6433958771133e-05
"Zm00001eb056290"	4.66373280798527e-05
"Zm00001eb004900"	4.73362070150528e-05
"Zm00001eb411380"	4.74596385604343e-05
"Zm00001eb195640"	4.76455144994606e-05
"Zm00001eb308870"	4.82534946231423e-05
"Zm00001eb339400"	4.85264329130445e-05
"Zm00001eb270260"	4.89284998166762e-05
"Zm00001eb308270"	4.89762749882238e-05
"Zm00001eb302180"	4.89848082789153e-05
"Zm00001eb189910"	4.94802784497635e-05
"Zm00001eb228710"	4.9533782409735e-05
"Zm00001eb377600"	4.95971126161361e-05
"Zm00001eb272160"	5.03384630097525e-05
"Zm00001eb216580"	5.04237063334341e-05
"Zm00001eb322110"	5.06062800494001e-05
"Zm00001eb340280"	5.07263821072401e-05
"Zm00001eb200460"	5.09561189111859e-05
"Zm00001eb001870"	5.12451212832148e-05
"Zm00001eb221790"	5.12860751983066e-05
"Zm00001eb100110"	5.13777823323495e-05
"Zm00001eb289760"	5.16356018847022e-05
"Zm00001eb346080"	5.18358642771323e-05
"Zm00001eb398230"	5.20338462198337e-05
"Zm00001eb337850"	5.22610070066136e-05
"Zm00001eb393180"	5.2349809136234e-05
"Zm00001eb132370"	5.26371756668159e-05
"Zm00001eb104610"	5.29207088101738e-05
"Zm00001eb274770"	5.29439198369191e-05
"Zm00001eb094550"	5.3317011596714e-05
"Zm00001eb051930"	5.3453768964286e-05
"Zm00001eb293940"	5.35873619654927e-05
"Zm00001eb178810"	5.40886384698718e-05
"Zm00001eb212690"	5.41384947903231e-05
"Zm00001eb071210"	5.44889204587863e-05
"Zm00001eb167760"	5.48738434549592e-05
"Zm00001eb267070"	5.55897073178217e-05
"Zm00001eb014670"	5.56068411674461e-05
"Zm00001eb277680"	5.58541688080154e-05
"Zm00001eb093950"	5.59025408762005e-05
"Zm00001eb069550"	5.6356473505726e-05
"Zm00001eb112230"	5.6438651601609e-05
"Zm00001eb194610"	5.65831353221381e-05
"Zm00001eb170230"	5.66649169246715e-05
"Zm00001eb187550"	5.66931031491695e-05
"Zm00001eb224200"	5.67419890391452e-05
"Zm00001eb291310"	5.68624578015254e-05
"Zm00001eb189310"	5.68991424896336e-05
"Zm00001eb313260"	5.73711352030837e-05
"Zm00001eb394460"	5.75176967635343e-05
"Zm00001eb204830"	5.77841152731576e-05
"Zm00001eb322330"	5.83679049646346e-05
"Zm00001eb341750"	5.84058384773906e-05
"Zm00001eb168990"	5.84758733020828e-05
"Zm00001eb354460"	5.88811969004116e-05
"Zm00001eb226600"	5.89608295813873e-05
"Zm00001eb100970"	5.91462539829721e-05
"Zm00001eb404590"	5.93960912458383e-05
"Zm00001eb274980"	5.94172681513618e-05
"Zm00001eb018900"	5.97051230056634e-05
"Zm00001eb429640"	5.98024445919141e-05
"Zm00001eb217360"	5.98698417282293e-05
"Zm00001eb208650"	5.99153247425796e-05
"Zm00001eb318270"	6.01529296700362e-05
"Zm00001eb137610"	6.03550936561611e-05
"Zm00001eb116410"	6.0779938314941e-05
"Zm00001eb051760"	6.0804086745251e-05
"Zm00001eb429260"	6.0950065976818e-05
"Zm00001eb136210"	6.10350275584962e-05
"Zm00001eb205090"	6.10794393779171e-05
"Zm00001eb304050"	6.11734937123678e-05
"Zm00001eb115680"	6.12107407665544e-05
"Zm00001eb077400"	6.12479476922784e-05
"Zm00001eb100010"	6.15345573191018e-05
"Zm00001eb150290"	6.18072705555445e-05
"Zm00001eb343870"	6.20646755479431e-05
"Zm00001eb203890"	6.26436222856299e-05
"Zm00001eb089860"	6.27503730160539e-05
"Zm00001eb146820"	6.32747720362669e-05
"Zm00001eb065970"	6.35212481696369e-05
"Zm00001eb265340"	6.36543337597086e-05
"Zm00001eb109980"	6.36613786805209e-05
"Zm00001eb019130"	6.38958900335116e-05
"Zm00001eb350790"	6.45083039888299e-05
"Zm00001eb212070"	6.45312728260275e-05
"Zm00001eb093580"	6.47400481732526e-05
"Zm00001eb431670"	6.48290431133359e-05
"Zm00001eb304540"	6.55628279328832e-05
"Zm00001eb030600"	6.55734060462255e-05
"Zm00001eb152860"	6.61337011610089e-05
"Zm00001eb113150"	6.64717003306097e-05
"Zm00001eb342140"	6.67755383032799e-05
"Zm00001eb237500"	6.67887645272021e-05
"Zm00001eb209250"	6.69540900088163e-05
"Zm00001eb406870"	6.71132648750968e-05
"Zm00001eb204270"	6.71217815421345e-05
"Zm00001eb086460"	6.81071461783685e-05
"Zm00001eb146530"	6.830035823741e-05
"Zm00001eb296320"	6.88463485245489e-05
"Zm00001eb200510"	6.91720633490003e-05
"Zm00001eb042750"	6.92326188270679e-05
"Zm00001eb159530"	6.9235507532427e-05
"Zm00001eb328840"	6.93346781649333e-05
"Zm00001eb257670"	6.9569433528117e-05
"Zm00001eb274440"	6.98416874210605e-05
"Zm00001eb367010"	7.12547638654555e-05
"Zm00001eb328120"	7.13117285517759e-05
"Zm00001eb152340"	7.13511659868044e-05
"Zm00001eb190420"	7.17586857336222e-05
"Zm00001eb380440"	7.20233770834816e-05
"Zm00001eb107950"	7.21745069209885e-05
"Zm00001eb356540"	7.22849824235755e-05
"Zm00001eb432110"	7.24679452399321e-05
"Zm00001eb177760"	7.28440806163458e-05
"Zm00001eb200030"	7.31082914550736e-05
"Zm00001eb234010"	7.32567211584296e-05
"Zm00001eb055490"	7.34548846376772e-05
"Zm00001eb090920"	7.40212720016048e-05
"Zm00001eb324580"	7.41051879715532e-05
"Zm00001eb309150"	7.49492510198519e-05
"Zm00001eb045360"	7.49810421654387e-05
"Zm00001eb394440"	7.50072963415495e-05
"Zm00001eb180160"	7.61898173346236e-05
"Zm00001eb191630"	7.63218372295686e-05
"Zm00001eb303350"	7.65855294554075e-05
"Zm00001eb132870"	7.69589091384398e-05
"Zm00001eb316950"	7.71896360546472e-05
"Zm00001eb034830"	7.76445278049512e-05
"Zm00001eb113900"	7.78335933768389e-05
"Zm00001eb413410"	7.78482388935855e-05
