ENSEMBL_GeneID,C_6_Susc_1,C_6_Susc_2,T_6_Susc_1,T_6_Susc_2
Zm00001eb000010,147,186,178,198
Zm00001eb000020,834,824,1296,1323
Zm00001eb000050,0,0,0,0
Zm00001eb000060,149,169,106,115
Zm00001eb000070,3,0,0,0
Zm00001eb000080,225,238,212,223
Zm00001eb000100,0,0,0,0
Zm00001eb000110,0,0,0,0
Zm00001eb000120,1,0,0,0
Zm00001eb000140,24,12,3,7
Zm00001eb000150,0,0,0,0
Zm00001eb000170,129,149,136,173
Zm00001eb000180,0,0,0,0
Zm00001eb000190,522,493,804,691
Zm00001eb000200,0,0,0,0
Zm00001eb000210,236,258,194,218
Zm00001eb000220,423,443,447,465
Zm00001eb000230,341,353,228,257
Zm00001eb000240,43,46,42,30
Zm00001eb000250,0,0,0,0
Zm00001eb000270,107,112,101,146
Zm00001eb000290,0,0,0,0
Zm00001eb000300,48,59,38,64
Zm00001eb000310,61,52,47,56
Zm00001eb000320,1330,1307,1060,1088
Zm00001eb000330,45,35,53,59
Zm00001eb000340,2421,2389,3953,3821
Zm00001eb000360,0,0,0,0
Zm00001eb000370,1284,1352,1296,1256
Zm00001eb000380,436,405,187,178
Zm00001eb000390,8,7,6,17
Zm00001eb000400,9,16,7,3
Zm00001eb000410,0,2,0,1
Zm00001eb000420,93,113,143,137
Zm00001eb000430,0,0,0,0
Zm00001eb000440,0,0,0,0
Zm00001eb000450,2877,2816,2468,2458
Zm00001eb000460,0,0,0,0
Zm00001eb000470,0,0,0,0
Zm00001eb000480,2366,2355,2781,2792
Zm00001eb000490,947,1003,1897,1900
Zm00001eb000500,91,71,84,91
Zm00001eb000510,57,59,36,45
Zm00001eb000520,893,977,1064,1151
Zm00001eb000530,0,0,0,0
Zm00001eb000540,14,18,14,10
Zm00001eb000550,233,251,313,313
Zm00001eb000560,0,0,0,0
Zm00001eb000570,81,85,51,56
Zm00001eb000580,51,74,69,56
Zm00001eb000590,896,989,1158,1094
Zm00001eb000600,121,166,77,78
Zm00001eb000620,499,481,409,427
Zm00001eb000630,0,0,0,0
Zm00001eb000640,68,50,41,55
Zm00001eb000650,57,55,54,65
Zm00001eb000660,1563,1590,177,187
Zm00001eb000670,876,887,654,686
Zm00001eb000680,34,18,43,40
Zm00001eb000690,668,668,868,938
Zm00001eb000700,671,644,839,802
Zm00001eb000710,157,149,205,180
Zm00001eb000720,32,36,36,49
Zm00001eb000740,91,86,97,82
Zm00001eb000750,13,20,17,10
Zm00001eb000760,0,2,0,2
Zm00001eb000770,1115,1133,469,564
