ENSEMBL_GeneID,C_24_Tol_1,C_24_Tol_2,T_24_Tol_1,T_24_Tol_2
Zm00001eb000010,226,239,133,142
Zm00001eb000020,734,740,568,564
Zm00001eb000050,0,0,0,0
Zm00001eb000060,0,0,0,0
Zm00001eb000070,115,105,41,50
Zm00001eb000080,348,315,191,188
Zm00001eb000100,0,0,0,0
Zm00001eb000110,2,5,3,1
Zm00001eb000120,10,12,1,4
Zm00001eb000140,17,23,8,5
Zm00001eb000150,0,0,0,0
Zm00001eb000170,719,679,408,403
Zm00001eb000180,0,0,0,0
Zm00001eb000190,875,900,565,586
Zm00001eb000200,0,0,0,0
Zm00001eb000210,261,304,134,113
Zm00001eb000220,459,519,390,384
Zm00001eb000230,297,292,150,126
Zm00001eb000240,67,62,24,32
Zm00001eb000250,0,0,0,0
Zm00001eb000270,0,0,1,3
Zm00001eb000290,0,0,0,0
Zm00001eb000300,0,3,0,1
Zm00001eb000310,2,1,2,5
Zm00001eb000320,1349,1399,866,816
Zm00001eb000330,36,29,30,30
Zm00001eb000340,4057,3896,3019,2988
Zm00001eb000360,0,0,0,0
Zm00001eb000370,1114,1203,847,863
Zm00001eb000380,1561,1588,87,116
Zm00001eb000390,10,6,3,8
Zm00001eb000400,50,61,9,18
Zm00001eb000410,1,1,0,0
Zm00001eb000420,284,298,127,123
Zm00001eb000430,0,0,0,0
Zm00001eb000440,0,0,3,0
Zm00001eb000450,1784,1744,2747,2730
Zm00001eb000460,0,0,0,0
Zm00001eb000470,0,0,0,0
Zm00001eb000480,3118,3020,2954,2900
Zm00001eb000490,2864,2822,2033,2002
Zm00001eb000500,123,114,87,78
Zm00001eb000510,34,32,36,38
Zm00001eb000520,867,889,546,574
Zm00001eb000530,0,0,0,0
Zm00001eb000540,10,7,0,9
Zm00001eb000550,292,285,243,213
Zm00001eb000560,29,38,26,19
Zm00001eb000570,159,138,49,36
Zm00001eb000580,12,6,11,2
Zm00001eb000590,1048,1120,645,697
Zm00001eb000600,117,103,98,102
Zm00001eb000620,452,443,444,466
Zm00001eb000630,0,0,0,0
Zm00001eb000640,34,37,24,27
Zm00001eb000650,81,92,73,82
Zm00001eb000660,147,128,35,42
Zm00001eb000670,812,818,526,550
Zm00001eb000680,24,26,21,19
Zm00001eb000690,729,696,585,681
Zm00001eb000700,977,939,619,679
Zm00001eb000710,183,155,143,116
Zm00001eb000720,71,64,89,79
Zm00001eb000740,97,119,43,49
Zm00001eb000750,34,32,7,17
Zm00001eb000760,2,0,1,2
Zm00001eb000770,243,264,206,201
Zm00001eb000780,896,845,779,776
Zm00001eb000790,76,84,57,45
Zm00001eb000800,925,846,907,894
Zm00001eb000810,0,0,0,0
Zm00001eb000820,276,304,150,166
Zm00001eb000830,0,0,0,0
Zm00001eb000840,685,709,436,473
Zm00001eb000850,1059,1097,502,448
Zm00001eb000860,1763,1780,934,901
Zm00001eb000870,1331,1343,1179,1187
Zm00001eb000880,380,413,518,396
Zm00001eb000890,393,405,302,317
Zm00001eb000900,117,136,89,80
Zm00001eb000910,210,210,102,144
Zm00001eb000920,999,997,810,867
Zm00001eb000930,24,26,31,50
Zm00001eb000940,0,0,0,0
Zm00001eb000960,31,34,25,16
Zm00001eb000970,622,642,569,601
Zm00001eb000980,115,130,179,221
Zm00001eb000990,462,439,148,160
Zm00001eb001000,369,407,281,289
Zm00001eb001010,173,181,77,111
Zm00001eb001020,11,10,20,11
Zm00001eb001030,4,5,11,17
Zm00001eb001040,634,589,502,514
Zm00001eb001050,147,137,141,135
Zm00001eb001060,68,68,20,31
Zm00001eb001070,341,312,288,271
Zm00001eb001090,9,12,3,3
Zm00001eb001100,1,0,0,0
Zm00001eb001110,730,763,719,767
Zm00001eb001120,19,26,7,9
Zm00001eb001130,121,111,71,101
Zm00001eb001140,107,113,65,70
Zm00001eb001150,0,0,0,0
Zm00001eb001160,6,3,3,2
Zm00001eb001170,219,221,140,126
Zm00001eb001180,58,55,37,45
Zm00001eb001190,125,123,81,104
Zm00001eb001200,225,218,180,172
Zm00001eb001210,0,0,0,0
Zm00001eb001220,90,96,77,54
Zm00001eb001230,2,4,1,0
Zm00001eb001240,223,275,294,246
Zm00001eb001250,1,0,0,0
Zm00001eb001260,1048,1059,1060,1107
Zm00001eb001270,392,417,224,229
Zm00001eb001280,207,192,126,129
Zm00001eb001290,187,166,61,65
Zm00001eb001300,0,0,0,0
Zm00001eb001310,0,0,0,0
Zm00001eb001320,0,0,0,0
Zm00001eb001330,0,0,0,0
Zm00001eb001340,387,406,179,176
Zm00001eb001350,84,87,97,90
Zm00001eb001360,317,340,216,264
Zm00001eb001370,28,23,23,31
Zm00001eb001400,1869,1861,1875,1822
Zm00001eb001410,0,0,0,0
Zm00001eb001420,1,2,0,3
Zm00001eb001430,5957,5802,4235,4269
Zm00001eb001440,13,12,17,9
Zm00001eb001460,3231,3282,2176,2228
Zm00001eb001470,154,195,133,167
Zm00001eb001480,1,0,0,0
Zm00001eb001490,28,31,17,16
Zm00001eb001500,131,152,121,93
Zm00001eb001510,270,264,157,185
Zm00001eb001520,41,32,6,12
Zm00001eb001530,273,305,202,186
Zm00001eb001550,101,79,80,65
Zm00001eb001560,2338,2298,995,1013
Zm00001eb001570,614,651,555,584
Zm00001eb001580,0,0,0,0
Zm00001eb001590,39,31,55,34
Zm00001eb001600,27,24,20,20
Zm00001eb001610,0,0,0,0
Zm00001eb001620,0,0,0,0
Zm00001eb001630,251,224,146,129
Zm00001eb001640,495,529,257,278
Zm00001eb001650,337,298,263,241
Zm00001eb001660,2,1,0,0
Zm00001eb001670,34,26,10,8
Zm00001eb001680,1460,1405,1011,1048
Zm00001eb001690,7,9,8,8
Zm00001eb001700,260,270,192,182
Zm00001eb001710,344,426,424,406
Zm00001eb001720,438,467,211,228
Zm00001eb001740,0,0,0,0
Zm00001eb001760,109,127,64,78
Zm00001eb001770,127,128,22,20
Zm00001eb001780,104,97,34,42
Zm00001eb001790,0,0,0,0
Zm00001eb001800,0,0,0,0
Zm00001eb001810,172,175,140,154
Zm00001eb001820,29,22,3,6
Zm00001eb001830,198,172,64,73
Zm00001eb001840,290,257,127,144
Zm00001eb001860,1257,1303,1262,1240
Zm00001eb001870,563,615,405,388
Zm00001eb001880,787,796,494,531
Zm00001eb001890,68,49,65,47
Zm00001eb001900,144,139,70,73
Zm00001eb001910,806,885,504,482
Zm00001eb001920,45,35,17,19
Zm00001eb001940,550,549,645,610
Zm00001eb001950,1156,1127,523,499
Zm00001eb001960,0,0,0,0
Zm00001eb001970,0,0,0,0
Zm00001eb001980,218,226,209,179
Zm00001eb001990,23,17,32,36
Zm00001eb002000,377,413,534,583
Zm00001eb002010,61,69,32,41
Zm00001eb002020,145,167,149,123
Zm00001eb002030,116,122,81,60
Zm00001eb002040,586,504,510,496
Zm00001eb002050,2,3,3,0
Zm00001eb002060,2523,2651,2826,2931
Zm00001eb002070,66,86,74,81
Zm00001eb002080,2,2,5,2
Zm00001eb002090,544,586,299,336
Zm00001eb002100,942,944,550,567
Zm00001eb002140,0,0,0,0
Zm00001eb002150,3,7,3,8
Zm00001eb002170,413,443,348,332
Zm00001eb002180,1130,1110,644,680
Zm00001eb002190,14,15,8,10
Zm00001eb002200,105,89,60,44
Zm00001eb002210,2,0,1,1
Zm00001eb002220,1623,1508,1603,1706
Zm00001eb002240,40,39,58,38
Zm00001eb002250,7,9,1,1
Zm00001eb002260,1393,1471,1135,1084
Zm00001eb002270,928,947,268,318
Zm00001eb002280,1,0,0,2
Zm00001eb002290,1,4,0,0
Zm00001eb002300,1,0,0,0
Zm00001eb002310,32,38,43,36
Zm00001eb002320,2082,2077,1827,1767
Zm00001eb002330,12,13,19,8
Zm00001eb002340,1,3,0,0
Zm00001eb002350,0,0,0,0
Zm00001eb002360,0,0,0,0
Zm00001eb002370,0,0,0,0
Zm00001eb002380,3,1,0,2
Zm00001eb002390,864,842,796,802
Zm00001eb002410,0,0,0,0
Zm00001eb002420,1147,1177,1134,1172
Zm00001eb002430,1154,1116,739,703
Zm00001eb002440,212,249,186,175
Zm00001eb002450,194,228,104,108
Zm00001eb002460,183,155,117,100
Zm00001eb002470,47,48,49,42
Zm00001eb002480,15,13,1,2
Zm00001eb002490,570,601,439,518
Zm00001eb002510,60,75,93,100
Zm00001eb002520,874,883,1120,1039
Zm00001eb002530,1114,1096,669,651
Zm00001eb002540,357,372,325,313
Zm00001eb002550,529,511,325,348
Zm00001eb002560,250,247,171,158
Zm00001eb002570,270,278,328,300
Zm00001eb002590,1346,1357,1094,1010
Zm00001eb002600,33,54,39,54
Zm00001eb002610,420,428,323,345
Zm00001eb002620,3053,3017,2835,2853
Zm00001eb002640,2566,2476,2496,2563
Zm00001eb002650,0,0,0,1
Zm00001eb002660,38,33,7,5
Zm00001eb002680,108,126,82,91
Zm00001eb002690,501,444,239,238
Zm00001eb002700,2,2,3,0
Zm00001eb002710,0,0,0,0
Zm00001eb002720,0,0,0,0
Zm00001eb002730,0,0,0,0
Zm00001eb002740,590,593,329,300
Zm00001eb002750,0,0,0,0
Zm00001eb002760,116,123,55,52
Zm00001eb002770,0,0,0,0
Zm00001eb002780,518,528,536,491
Zm00001eb002790,842,857,719,627
Zm00001eb002800,1119,1114,724,789
Zm00001eb002810,1290,1332,838,814
Zm00001eb002820,351,353,249,219
Zm00001eb002830,832,874,199,196
Zm00001eb002840,2,0,0,1
Zm00001eb002850,0,0,0,0
Zm00001eb002860,0,2,2,1
Zm00001eb002870,26,35,10,7
Zm00001eb002880,1,0,1,0
Zm00001eb002890,0,0,0,0
Zm00001eb002900,0,0,0,0
Zm00001eb002910,348,331,342,295
Zm00001eb002920,136,135,95,76
Zm00001eb002930,48,42,67,100
Zm00001eb002940,261,303,258,301
Zm00001eb002950,222,206,170,187
Zm00001eb002960,1665,1653,1945,2000
Zm00001eb002970,0,0,0,0
Zm00001eb002980,12,19,3,8
Zm00001eb002990,0,0,0,0
Zm00001eb003000,175,170,122,127
Zm00001eb003010,335,333,267,276
Zm00001eb003020,225,174,126,138
Zm00001eb003030,308,327,233,227
Zm00001eb003040,102,85,105,112
Zm00001eb003050,0,0,0,0
Zm00001eb003060,0,0,0,0
