ENSEMBL_GeneID,C_24_Susc_1,C_24_Susc_2,T_24_Susc_1,T_24_Susc_2
Zm00001eb000010,157,163,111,82
Zm00001eb000020,930,929,844,793
Zm00001eb000050,0,0,0,0
Zm00001eb000060,150,150,57,74
Zm00001eb000070,2,0,1,2
Zm00001eb000080,226,185,144,150
Zm00001eb000100,0,0,0,0
Zm00001eb000110,0,0,0,0
Zm00001eb000120,1,1,0,1
Zm00001eb000140,13,6,12,6
Zm00001eb000150,0,0,0,0
Zm00001eb000170,162,190,137,113
Zm00001eb000180,0,0,0,0
Zm00001eb000190,513,561,358,393
Zm00001eb000200,0,0,0,0
Zm00001eb000210,187,164,147,173
Zm00001eb000220,545,544,461,448
Zm00001eb000230,287,300,166,165
Zm00001eb000240,30,33,35,23
Zm00001eb000250,0,0,0,0
Zm00001eb000270,85,81,55,60
Zm00001eb000290,0,0,0,0
Zm00001eb000300,55,44,37,41
Zm00001eb000310,50,55,46,38
Zm00001eb000320,1266,1225,799,771
Zm00001eb000330,40,41,22,31
Zm00001eb000340,2717,2745,2298,2312
Zm00001eb000360,0,0,0,0
Zm00001eb000370,1181,1282,876,861
Zm00001eb000380,739,804,121,95
Zm00001eb000390,6,12,17,18
Zm00001eb000400,7,7,4,0
Zm00001eb000410,0,0,0,0
Zm00001eb000420,114,134,82,81
Zm00001eb000430,0,0,0,0
Zm00001eb000440,0,0,0,0
Zm00001eb000450,1631,1685,4855,4746
Zm00001eb000460,0,0,0,0
Zm00001eb000470,0,1,0,0
Zm00001eb000480,2047,2043,2792,2790
Zm00001eb000490,1563,1537,1304,1409
Zm00001eb000500,61,61,46,45
Zm00001eb000510,36,51,41,29
Zm00001eb000520,885,858,633,650
Zm00001eb000530,0,0,0,0
Zm00001eb000540,15,11,6,6
Zm00001eb000550,308,317,255,234
Zm00001eb000560,0,0,0,0
Zm00001eb000570,91,111,23,19
Zm00001eb000580,23,34,43,37
Zm00001eb000590,941,995,900,916
Zm00001eb000600,65,61,87,92
Zm00001eb000620,370,347,336,320
Zm00001eb000630,0,0,0,0
Zm00001eb000640,39,34,35,33
Zm00001eb000650,40,51,33,37
Zm00001eb000660,151,186,335,321
Zm00001eb000670,668,744,457,509
Zm00001eb000680,29,31,14,16
Zm00001eb000690,700,668,752,704
Zm00001eb000700,645,718,645,612
Zm00001eb000710,157,174,138,146
Zm00001eb000720,58,65,40,33
Zm00001eb000740,103,86,63,69
Zm00001eb000750,16,26,17,12
Zm00001eb000760,1,1,0,0
Zm00001eb000770,740,772,498,505
