""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb160010"	12.7059696595465	8.02824907780506	4.5124030050147e-31	1.11573676701993e-26
"Zm00001eb422590"	-14.9894667354009	6.30287725278226	3.30040444331761e-27	4.08029001327357e-23
"Zm00001eb188570"	11.1926238080148	6.51558988573532	5.05480520305503e-26	4.16617044835796e-22
"Zm00001eb115210"	-14.5707514068017	5.88489568698618	8.1851860373106e-26	5.05967274896355e-22
"Zm00001eb221790"	-9.45851157530054	6.21616854941617	2.89227657246333e-23	1.43028861061457e-19
"Zm00001eb292880"	13.4431927250581	4.75607149028726	4.5471026021275e-22	1.87386098233674e-18
"Zm00001eb238830"	-13.3655151875651	4.68342470785008	8.15739720044317e-22	2.88142575968797e-18
"Zm00001eb364840"	-13.2459964133086	4.5644747329661	2.0113319079785e-21	6.04964109166143e-18
"Zm00001eb011990"	-10.3133008154435	4.87854794220179	2.20200476522498e-21	6.04964109166143e-18
"Zm00001eb265350"	10.3954109194354	4.80670915962332	3.71028951827056e-21	9.17406186287579e-18
"Zm00001eb259830"	-13.1205810817161	4.43970743239719	5.21479102201875e-21	1.1721902073676e-17
"Zm00001eb317310"	12.9447752080053	4.25837877903896	2.00997335776742e-20	4.14155010367977e-17
"Zm00001eb391290"	12.8860834329682	4.199791798699	3.12836945104112e-20	5.95015869588021e-17
"Zm00001eb232210"	-8.63856595748759	5.08681460197008	5.1407581999335e-20	8.65205611585698e-17
"Zm00001eb267220"	-12.8072398074269	4.12824389021781	5.59867741865695e-20	8.65205611585698e-17
"Zm00001eb029940"	-12.8072398074269	4.12824389021781	5.59867741865695e-20	8.65205611585698e-17
"Zm00001eb141650"	-12.7996115864616	4.12066644878145	5.95166461399636e-20	8.65652113209847e-17
"Zm00001eb266530"	-9.13086056090972	4.62060513270832	1.02815488544345e-19	1.41234209430415e-16
"Zm00001eb304830"	12.6452571521967	3.95944853811469	1.9289934041754e-19	2.51033110061268e-16
"Zm00001eb410980"	-9.71706990349536	4.28576654534734	2.04387563080292e-19	2.52684344236165e-16
"Zm00001eb415430"	-12.5909544609253	3.9135027778695	2.88490260177115e-19	3.38307698800944e-16
"Zm00001eb210320"	-12.5856415239084	3.90823062563455	3.01009842822161e-19	3.38307698800944e-16
"Zm00001eb100200"	-9.58421699457006	4.15388906708335	5.5318799359979e-19	5.9470114477167e-16
"Zm00001eb332200"	9.689724594232	4.1026976344964	7.7751625270925e-19	8.01036119353705e-16
"Zm00001eb301130"	8.00528333259562	4.85826370629253	9.198842757928e-19	9.09802344130111e-16
"Zm00001eb352960"	12.3815023710143	3.69633722223142	1.41884816591276e-18	1.29414604043641e-15
"Zm00001eb141640"	-8.03759804599372	4.80243157938526	1.44278258177663e-18	1.29414604043641e-15
"Zm00001eb157760"	-8.78002413144923	4.27231340844829	1.46550550563049e-18	1.29414604043641e-15
"Zm00001eb099770"	-9.37353147270162	3.94493889874327	2.72267571514172e-18	2.32140964595153e-15
"Zm00001eb084380"	-12.276138156692	3.60136711060476	3.08560572518754e-18	2.54315623869957e-15
"Zm00001eb008040"	12.2518139848075	3.56701749970925	3.7466576384558e-18	2.98838247640187e-15
"Zm00001eb410970"	-12.240521518522	3.56609007727368	4.02409976536309e-18	3.10937158744899e-15
"Zm00001eb411520"	-7.07339388758615	7.130349455162	4.79777385385512e-18	3.59484110031581e-15
"Zm00001eb072050"	12.1954433043413	3.51081923310826	5.68621344258394e-18	4.13521510533325e-15
"Zm00001eb362750"	-9.23171528675265	3.804435160413	7.83983103760087e-18	5.53850463530626e-15
"Zm00001eb203250"	-12.1133777508243	3.44022504275776	1.04419186184726e-17	7.1718577711209e-15
