""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb221790"	-15.5434977524495	6.65227939693875	4.63200665036249e-29	1.13817667412707e-24
"Zm00001eb115210"	-14.9749283287696	6.0842855696649	3.64228926627789e-27	4.47491659254902e-23
"Zm00001eb238830"	-14.1107543964551	5.22155631858433	2.72413478008619e-24	2.23124799387593e-20
"Zm00001eb292880"	9.58867694706697	5.30676257280088	5.20360023520955e-22	3.19657162448923e-18
"Zm00001eb415430"	-13.3931925636245	4.50604835623671	6.52828420824376e-22	3.20825999129931e-18
"Zm00001eb077780"	-9.06381117751722	5.25984521134482	2.82776807761242e-21	1.15806528671821e-17
"Zm00001eb265350"	9.62037499471043	4.7834891138012	6.06596361052718e-21	2.12932654054105e-17
"Zm00001eb392900"	-13.0129443439315	4.12737135159824	1.16831433670574e-20	3.58847748519169e-17
"Zm00001eb368740"	8.65108994305246	5.34094094703893	1.37060020309936e-20	3.74204313228417e-17
"Zm00001eb267220"	-12.8954408703531	4.01044133765204	2.85284840037901e-20	7.01001908941131e-17
"Zm00001eb188570"	8.20544221983419	5.75684885859701	3.28829636996641e-20	7.3454562184377e-17
"Zm00001eb070780"	10.042111103632	4.29024043498952	3.98108974229466e-20	7.83368378834874e-17
"Zm00001eb410980"	-12.845927346636	3.96118346108192	4.1444688771176e-20	7.83368378834874e-17
"Zm00001eb391290"	8.60978545119674	5.0431113592313	4.69663583292404e-20	8.24326683475783e-17
"Zm00001eb266530"	-9.26120101270343	4.50094748144562	5.28219064134634e-20	8.65293256261081e-17
"Zm00001eb422590"	-7.86158452065927	6.41686956837568	5.91565805231019e-20	8.82360055497326e-17
"Zm00001eb232210"	-8.8872213534735	4.68417757130571	6.10455841748923e-20	8.82360055497326e-17
"Zm00001eb093440"	7.98150232893531	5.65795686788936	1.34613914429857e-19	1.82519656004316e-16
"Zm00001eb141640"	-9.12591404983633	4.36639138867551	1.4767163388506e-19	1.82519656004316e-16
"Zm00001eb090230"	7.57891664924971	7.01815549065211	1.48559055839424e-19	1.82519656004316e-16
"Zm00001eb410970"	-12.5067732003062	3.62403029305536	5.38967538448797e-19	6.30643350226849e-16
"Zm00001eb293030"	-12.4233029826985	3.5411267103747	1.01254086171171e-18	1.13091609336273e-15
"Zm00001eb006490"	-12.4171518781789	3.53501863305354	1.06187655447145e-18	1.13445350854228e-15
