Gene	logFC
Zm00001eb006310	5.741476936
Zm00001eb011820	3.489236781
Zm00001eb016800	3.239003844
Zm00001eb021500	5.036655335
Zm00001eb023420	-3.515895085
Zm00001eb027960	5.154400488
Zm00001eb031210	5.716456323
Zm00001eb032580	-3.392088622
Zm00001eb034050	-3.637953435
Zm00001eb035600	-4.417012521
Zm00001eb037600	-3.65559208
Zm00001eb040580	4.916028049
Zm00001eb047740	-8.803163346
Zm00001eb053150	-8.159648944
Zm00001eb054810	-8.849603399
Zm00001eb056010	-4.668847382
Zm00001eb056110	-8.487926576
Zm00001eb056970	-6.021903691
Zm00001eb068470	3.286283106
Zm00001eb084980	3.7795404
Zm00001eb087350	-3.418959782
Zm00001eb102370	-4.778046822
Zm00001eb102510	-3.786308871
Zm00001eb106430	-3.286164389
Zm00001eb109440	4.50355881
Zm00001eb111710	3.561151297
Zm00001eb113780	5.179298198
Zm00001eb121900	-4.303572889
Zm00001eb122110	4.014920193
Zm00001eb131090	-3.210291764
Zm00001eb138650	-3.190509957
Zm00001eb139500	-3.947936171
Zm00001eb139740	3.403018396
Zm00001eb139830	5.094814711
Zm00001eb141540	-4.544775067
Zm00001eb147750	-4.519739149
Zm00001eb148040	-4.056097497
Zm00001eb161610	5.122319514
Zm00001eb164390	-3.842016794
Zm00001eb167700	-3.850633825
Zm00001eb168900	8.27779976
Zm00001eb169870	-3.52261048
Zm00001eb170080	-3.255584202
Zm00001eb180830	-4.74119432
Zm00001eb185100	-3.20834714
Zm00001eb186620	-3.721559109
Zm00001eb187130	9.684773602
Zm00001eb188750	9.275473659
Zm00001eb196990	4.144773734
Zm00001eb201580	5.358390851
Zm00001eb207670	4.543327818
Zm00001eb209990	-3.709223939
Zm00001eb214420	3.137145209
Zm00001eb214550	3.822505169
Zm00001eb214780	-4.83622986
Zm00001eb215270	3.798604406
Zm00001eb231210	-3.78977619
Zm00001eb242240	-4.401217691
Zm00001eb242480	5.354804881
Zm00001eb245430	-4.26196016
Zm00001eb247830	-4.330922263
Zm00001eb251130	-3.873922854
Zm00001eb251520	-3.516859451
Zm00001eb255510	-3.789721237
Zm00001eb256120	-3.62378163
Zm00001eb256520	3.387218753
Zm00001eb260010	-3.633781852
Zm00001eb270580	-3.490854854
Zm00001eb272230	10.15635277
Zm00001eb274870	8.318312615
Zm00001eb275400	3.542908246
Zm00001eb278150	4.680789445
Zm00001eb280930	-3.378846775
Zm00001eb283460	-3.55424361
Zm00001eb284350	5.469990078
Zm00001eb287790	-4.97163858
Zm00001eb295010	3.703363226
Zm00001eb299760	-3.658863419
Zm00001eb313920	-3.948040108
Zm00001eb316870	-3.477636568
Zm00001eb317110	-3.91247368
Zm00001eb325410	-3.208356207
Zm00001eb332100	-3.55424361
Zm00001eb336580	-3.770239526
Zm00001eb339420	-5.624791969
Zm00001eb340550	-6.931980755
Zm00001eb342740	3.212255728
Zm00001eb346800	-3.730731463
Zm00001eb351790	-3.813498342
Zm00001eb356910	5.232384286
Zm00001eb357740	-3.668378677
Zm00001eb370870	3.360236152
Zm00001eb371530	-5.956599935
Zm00001eb374190	3.376701708
Zm00001eb378280	-3.675011056
Zm00001eb381280	-4.593627994
Zm00001eb382310	-8.159648944
Zm00001eb384740	-5.095562768
Zm00001eb386040	-4.561154297
Zm00001eb394330	-6.106498885
Zm00001eb397940	-3.869526987
Zm00001eb399150	-3.838964951
Zm00001eb400190	-3.905968376
Zm00001eb406490	-3.632852684
Zm00001eb409750	10.8793365
Zm00001eb418230	-3.752074127
Zm00001eb418340	3.158004002
Zm00001eb418610	-4.388983242
Zm00001eb428800	-3.816281839
Zm00001eb433640	4.630736141
