ENSEMBL_GeneID	name_C_24_III	name_C_6_II	name_C_6_III	name_T_24_II	name_T_24_III	name_T_6_II	name_T_6_III
__alignment_not_unique	7442348	6001724	6001724	7938458	6391299	7755239	7755239
__ambiguous	1349867	1208111	1208111	1114892	1178915	1322895	1322895
__no_feature	9565075	8997983	8997983	14331901	7958783	12135118	12135118
__not_aligned	0	0	0	0	0	0	0
__too_low_aQual	0	0	0	0	0	0	0
Zm00001eb000010	320	313	313	275	193	248	248
Zm00001eb000020	1859	940	940	1132	1637	1445	1445
Zm00001eb000050	0	0	0	0	0	1	1
Zm00001eb000060	300	0	0	0	131	0	0
Zm00001eb000070	2	155	155	91	3	88	88
Zm00001eb000080	411	440	440	379	294	418	418
Zm00001eb000100	0	0	0	0	0	0	0
Zm00001eb000110	0	0	0	4	0	0	0
Zm00001eb000120	2	22	22	5	1	4	4
Zm00001eb000140	19	43	43	13	18	16	16
Zm00001eb000150	0	0	0	0	0	0	0
Zm00001eb000170	352	1020	1020	811	250	855	855
Zm00001eb000180	0	0	0	0	0	0	0
Zm00001eb000190	1074	1163	1163	1151	751	1206	1206
Zm00001eb000200	0	0	0	0	0	0	0
Zm00001eb000210	351	462	462	247	320	368	368
Zm00001eb000220	1089	633	633	774	909	906	906
Zm00001eb000230	587	384	384	276	331	363	363
Zm00001eb000240	63	102	102	56	58	58	58
Zm00001eb000250	0	1	1	0	0	1	1
Zm00001eb000270	166	0	0	4	115	0	0
Zm00001eb000290	0	0	0	0	0	0	0
Zm00001eb000300	99	2	2	1	78	3	3
Zm00001eb000310	105	2	2	7	84	8	8
Zm00001eb000320	2491	1975	1975	1682	1570	2313	2313
Zm00001eb000330	81	97	97	60	53	81	81
Zm00001eb000340	5462	4956	4956	6007	4610	6664	6664
Zm00001eb000360	0	0	0	0	0	0	0
Zm00001eb000370	2463	1202	1202	1710	1737	2441	2441
Zm00001eb000380	1543	855	855	203	216	765	765
Zm00001eb000390	18	10	10	11	35	22	22
Zm00001eb000400	14	77	77	27	4	99	99
Zm00001eb000410	0	4	4	0	0	0	0
Zm00001eb000420	248	231	231	250	163	224	224
Zm00001eb000430	0	0	0	0	0	0	0
Zm00001eb000440	0	1	1	3	0	0	0
Zm00001eb000450	3316	4720	4720	5477	9601	5128	5128
Zm00001eb000460	0	0	0	0	0	0	0
Zm00001eb000470	1	0	0	0	0	0	0
Zm00001eb000480	4090	4503	4503	5854	5582	5983	5983
Zm00001eb000490	3100	2353	2353	4035	2713	3485	3485
Zm00001eb000500	122	189	189	165	91	148	148
Zm00001eb000510	87	120	120	74	70	76	76
Zm00001eb000520	1743	1492	1492	1120	1283	1254	1254
Zm00001eb000530	0	0	0	0	0	0	0
Zm00001eb000540	26	30	30	9	12	14	14
Zm00001eb000550	625	279	279	456	489	417	417
Zm00001eb000560	0	54	54	45	0	45	45
Zm00001eb000570	202	114	114	85	42	128	128
Zm00001eb000580	57	103	103	13	80	80	80
Zm00001eb000590	1936	1690	1690	1342	1816	1767	1767
Zm00001eb000600	126	248	248	200	179	206	206
Zm00001eb000620	717	972	972	910	656	790	790
Zm00001eb000630	0	0	0	0	0	0	0
Zm00001eb000640	73	66	66	51	68	64	64
Zm00001eb000650	91	101	101	155	70	76	76
Zm00001eb000660	337	210	210	77	656	131	131
Zm00001eb000670	1412	1917	1917	1076	966	1424	1424
Zm00001eb000680	60	77	77	40	30	32	32
Zm00001eb000690	1368	1220	1220	1266	1456	1377	1377
Zm00001eb000700	1363	1132	1132	1298	1257	1655	1655
Zm00001eb000710	331	275	275	259	284	321	321
Zm00001eb000720	123	148	148	168	73	95	95
Zm00001eb000740	189	220	220	92	132	90	90
Zm00001eb000750	42	44	44	24	29	19	19
Zm00001eb000760	2	0	0	3	0	0	0
Zm00001eb000770	1512	1478	1478	407	1003	759	759
Zm00001eb000780	1600	1148	1148	1555	1320	1597	1597
Zm00001eb000790	166	145	145	102	110	164	164
Zm00001eb000800	1328	1140	1140	1801	1189	1745	1745
Zm00001eb000810	0	0	0	0	0	0	0
