GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb332050	18341	2739	27137	10255	14710	4382	26214	9355
Zm00001eb087960	8485	450	13779	7175	14947	1973	22759	16065
Zm00001eb160010	2	797	14	7	12678	13394	17954	14551
Zm00001eb116230	10755	1729	3513	2106	12888	3118	10846	3625
Zm00001eb320890	5702	614	7650	1754	8375	1200	6788	2650
Zm00001eb172450	540	5795	7204	3616	573	4783	5869	3381
Zm00001eb378280	8198	1564	6893	446	4940	1704	5806	818
Zm00001eb356910	5882	619	117	3640	5836	1075	215	10499
Zm00001eb149460	6730	2314	3836	994	3216	2483	5855	601
Zm00001eb201180	4724	3455	7958	898	2283	2269	2709	536
Zm00001eb414390	8630	4229	6013	2933	607	250	1054	33
Zm00001eb341630	901	7330	2734	2184	764	4052	2369	2765
Zm00001eb228670	171	3040	6414	1769	151	2624	5715	1793
Zm00001eb237960	5059	843	3365	440	6570	973	3434	942
Zm00001eb221790	4046	6131	5156	5359	5	0	2	212
Zm00001eb148420	1082	901	10099	1172	800	833	3730	2239
Zm00001eb106430	2568	245	4934	418	2320	350	6285	783
Zm00001eb319590	1692	4883	396	2227	1359	3841	270	2024
Zm00001eb301260	702	4545	1977	1239	672	5264	752	1450
Zm00001eb138650	774	152	5004	453	1362	326	7042	1438
Zm00001eb052020	1161	3663	1570	2493	528	4350	1078	1615
Zm00001eb257130	482	348	7727	781	280	331	4098	860
Zm00001eb214420	705	2739	657	4779	543	2491	530	2445
Zm00001eb158640	3191	1517	3639	1603	2889	497	695	760
Zm00001eb351790	825	1193	8642	508	409	572	1725	524
Zm00001eb295010	1671	1601	187	2015	1440	2833	481	2594
Zm00001eb150050	6339	986	1811	286	701	482	1358	257
Zm00001eb159020	1863	460	4209	512	946	9	2701	1476
Zm00001eb014050	4261	540	554	1448	3005	425	528	1399
Zm00001eb122110	3804	1354	108	1445	3010	775	86	1496
Zm00001eb383830	6161	1021	830	735	1902	452	513	116
Zm00001eb388510	1341	140	2202	607	1711	292	3918	1177
Zm00001eb088020	978	42	1393	724	2338	263	3183	2080
Zm00001eb023420	1365	419	2686	194	1736	1219	2521	327
Zm00001eb389190	56	2693	711	708	229	3524	969	1281
Zm00001eb350280	1562	1831	606	3020	590	871	497	997
Zm00001eb418340	516	292	135	997	3045	1746	1618	1554
Zm00001eb397980	1160	229	3556	438	666	222	2684	658
Zm00001eb384740	2087	356	2114	51	1292	462	2901	130
Zm00001eb226530	885	663	446	2600	698	1092	787	1987
Zm00001eb019830	3496	468	316	649	1857	585	422	1261
Zm00001eb016800	1062	1050	353	2756	625	859	457	1847
Zm00001eb103490	1382	2844	367	856	832	1558	130	850
Zm00001eb359850	411	2712	403	784	394	3136	439	497
Zm00001eb214410	431	1543	500	2677	300	1084	443	1504
Zm00001eb107560	800	127	2134	308	1197	305	2946	627
Zm00001eb316870	966	150	2171	161	900	315	3114	389
Zm00001eb233760	1204	201	496	259	1969	1274	1351	1403
Zm00001eb336580	622	63	2164	131	1092	165	3376	541
Zm00001eb051810	433	163	1886	232	736	686	2741	1118
Zm00001eb258790	163	1687	1071	430	147	2116	1645	683
Zm00001eb000380	841	365	1543	216	855	765	3149	203
Zm00001eb306070	791	108	1798	193	1202	301	2934	548
Zm00001eb168100	1069	108	1121	272	1588	270	2450	777
Zm00001eb295610	875	132	2232	400	1096	201	1930	660
Zm00001eb229190	1056	9	120	227	2001	25	1975	1948
Zm00001eb369560	371	2614	685	696	366	1375	652	508
Zm00001eb313700	1551	336	1139	293	1203	598	1430	165
Zm00001eb280930	2304	541	2581	205	286	91	587	94
Zm00001eb368740	62	6	21	139	1492	2334	1227	1258
Zm00001eb122620	726	1608	711	814	176	1380	423	637
Zm00001eb071250	2059	866	2050	473	271	220	435	38
Zm00001eb360290	572	1469	325	2004	398	748	250	560
Zm00001eb283990	275	1974	506	243	264	1979	573	338
Zm00001eb396520	2049	104	182	753	1666	142	173	1061
Zm00001eb031210	601	213	24	1049	1378	566	103	1924
Zm00001eb011990	1598	1198	1871	1064	1	71	0	32
Zm00001eb148070	121	1128	1880	514	25	842	1051	215
Zm00001eb179680	631	87	1102	169	1064	139	2072	463
Zm00001eb217970	2474	245	764	234	921	167	681	211
Zm00001eb011820	1155	134	155	1440	581	158	105	1768
Zm00001eb231210	574	174	1541	92	682	473	1583	350
Zm00001eb092230	1239	615	300	667	1005	514	163	952
Zm00001eb412980	913	487	2247	257	169	577	472	310
Zm00001eb100020	613	251	341	917	268	387	321	2236
Zm00001eb000660	3153	364	337	656	210	131	275	77
Zm00001eb065120	1592	185	723	306	946	164	876	343
Zm00001eb248930	205	801	1804	224	251	529	1143	124
Zm00001eb357740	500	6	1755	114	785	8	1546	351
Zm00001eb364840	1285	1257	1281	922	0	41	0	2
Zm00001eb235510	166	1247	627	128	218	1242	993	148
Zm00001eb067380	682	60	567	94	710	7	2257	379
Zm00001eb159180	136	1136	633	578	157	1001	393	716
Zm00001eb253580	281	260	1836	193	170	163	1731	114
