GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb001810	583	764	581	467	545	488	347	294
Zm00001eb001820	53	48	107	18	38	33	51	9
Zm00001eb001830	131	161	280	64	120	147	370	137
Zm00001eb001840	361	223	503	184	367	202	547	271
Zm00001eb001860	1188	1698	1404	1352	1229	2422	2560	2502
Zm00001eb001870	2239	2185	2398	1574	661	806	1178	793
Zm00001eb001880	1452	1301	1641	1311	974	859	1583	1025
Zm00001eb001890	103	93	113	94	83	106	117	112
Zm00001eb001900	196	339	281	305	191	233	283	143
Zm00001eb001910	914	1253	1033	788	1074	1176	1691	986
Zm00001eb001920	70	35	54	52	32	76	80	36
Zm00001eb001940	1807	2260	1952	1337	1059	1521	1099	1255
Zm00001eb001950	465	166	1003	252	690	412	2283	1022
Zm00001eb001980	303	351	328	334	259	443	444	388
Zm00001eb001990	105	112	70	38	41	46	40	68
Zm00001eb002000	736	1090	683	926	528	882	790	1117
Zm00001eb002010	123	252	123	256	80	146	130	73
Zm00001eb002020	220	293	237	211	187	214	312	272
Zm00001eb002030	176	202	193	156	220	324	238	141
Zm00001eb002040	616	724	480	642	918	1166	1090	1006
Zm00001eb002050	1	3	0	1	12	3	5	3
Zm00001eb002060	5315	9702	7409	7422	4043	5892	5174	5757
Zm00001eb002070	117	117	117	88	147	176	152	155
Zm00001eb002080	11	12	20	12	5	4	4	7
Zm00001eb002090	1181	1040	886	1089	1588	1168	1130	635
Zm00001eb002100	1644	2131	2335	1567	994	1583	1886	1117
Zm00001eb002150	17	23	14	10	13	3	10	11
Zm00001eb002170	482	719	618	442	453	658	856	680
Zm00001eb002180	1803	2192	1518	1899	1941	1819	2240	1324
Zm00001eb002190	9	17	14	11	8	18	29	18
Zm00001eb002200	92	139	170	70	75	127	194	104
Zm00001eb002220	2388	4460	3143	3159	2661	4181	3131	3309
Zm00001eb002240	54	114	73	64	73	81	79	96
Zm00001eb002250	1	0	6	3	12	10	16	2
Zm00001eb002260	1696	2157	1765	1552	2296	2675	2864	2219
Zm00001eb002270	739	357	1253	582	597	395	1875	586
Zm00001eb002280	4	38	6	14	1	3	1	2
Zm00001eb002310	53	85	70	48	49	93	70	79
Zm00001eb002320	3614	4143	3442	3930	2894	4186	4159	3594
Zm00001eb002330	12	12	4	8	6	27	25	27
Zm00001eb002380	34	8	7	4	21	9	4	2
Zm00001eb002390	1045	2103	1423	3021	1349	2675	1706	1598
Zm00001eb002420	1104	2882	1784	1845	1370	2863	2324	2306
Zm00001eb002430	1520	1902	1431	1243	1249	1856	2270	1442
Zm00001eb002440	469	516	433	605	353	471	461	361
Zm00001eb002450	313	264	300	105	289	252	422	212
Zm00001eb002460	332	268	267	160	270	239	338	217
Zm00001eb002470	182	109	105	101	121	104	95	91
Zm00001eb002480	16	3	5	4	16	9	28	3
Zm00001eb002490	1048	1065	883	783	1056	1169	1171	957
Zm00001eb002510	798	179	157	160	265	224	135	193
Zm00001eb002520	2136	3785	2962	3033	851	2063	1757	2159
Zm00001eb002530	1966	1688	1705	1111	1749	1796	2210	1320
Zm00001eb002540	470	643	508	382	394	679	729	638
Zm00001eb002550	601	540	578	297	779	917	1040	673
Zm00001eb002560	343	243	290	234	374	310	497	329
Zm00001eb002570	870	646	471	497	970	775	548	628
Zm00001eb002590	4075	3934	2273	3087	3155	3595	2703	2104
Zm00001eb002600	83	83	39	255	69	49	87	93
Zm00001eb002610	1301	983	969	1074	822	761	848	668
Zm00001eb002620	9685	6776	5678	5224	4934	6197	6070	5688
Zm00001eb002640	2460	5114	3890	3584	2839	5516	5042	5059
Zm00001eb002660	257	120	105	69	118	30	71	12
Zm00001eb002680	148	408	346	159	160	308	234	173
Zm00001eb002690	738	537	423	249	954	589	945	477
Zm00001eb002740	999	742	1014	390	848	981	1183	629
Zm00001eb002760	270	479	274	304	171	348	239	107
Zm00001eb002780	1907	1803	1715	1940	1958	1419	1046	1027
Zm00001eb002790	2442	1960	1536	1613	1455	1938	1699	1346
Zm00001eb002800	2793	2741	2315	2522	1910	2400	2233	1513
Zm00001eb002810	1319	1623	2044	970	1310	1715	2622	1652
Zm00001eb002820	441	430	567	360	344	412	704	468
Zm00001eb002830	447	418	487	252	794	1348	1706	395
Zm00001eb002870	143	68	121	62	41	26	61	17
Zm00001eb002910	3	41	1	8	485	724	679	637
Zm00001eb002920	236	184	206	103	154	247	271	171
Zm00001eb002930	165	91	57	116	93	54	90	167
Zm00001eb002940	370	530	338	460	305	541	564	559
Zm00001eb002950	358	349	492	188	277	529	428	357
Zm00001eb002960	3471	5628	3462	4938	4171	4465	3318	3945
Zm00001eb002980	26	21	43	16	21	49	31	11
Zm00001eb003000	307	377	277	258	264	307	345	249
Zm00001eb003010	578	611	592	510	513	523	668	543
Zm00001eb003020	507	540	474	388	452	332	399	264
Zm00001eb003030	723	513	572	424	482	543	635	460
Zm00001eb003040	347	322	371	200	147	263	187	217
Zm00001eb003070	1204	1936	1411	1477	602	1047	900	994
Zm00001eb003080	300	287	433	239	257	237	408	294
Zm00001eb003090	16	23	12	9	17	12	16	7
Zm00001eb003110	347	210	239	206	241	121	199	216
Zm00001eb003130	170	340	168	351	152	233	204	319
Zm00001eb003140	28	66	106	41	32	63	113	48
Zm00001eb003170	1597	805	839	790	1457	1144	1642	1210
Zm00001eb003180	4971	11589	8805	9401	5805	10096	11631	10046
Zm00001eb003190	374	421	451	442	186	298	480	176
Zm00001eb003200	42	38	66	46	97	74	47	38
Zm00001eb003210	4	8	16	4	14	10	17	11
Zm00001eb003240	1996	1086	1951	1892	1247	1253	2004	1830
Zm00001eb003310	0	0	0	0	7	11	2	1
Zm00001eb003330	27	47	21	19	11	6	17	4
Zm00001eb003340	39	36	35	11	25	26	51	24
Zm00001eb003350	2515	4959	4032	4565	2195	4031	4460	4409
Zm00001eb003360	2127	1672	1632	1050	1140	1464	1789	1499
Zm00001eb003420	1471	3489	3149	2989	1546	3069	3067	2735
Zm00001eb003440	3521	4782	5369	4781	2303	5039	4244	6762
Zm00001eb003450	5	7	4	5	11	4	9	1
Zm00001eb003460	103	100	46	64	76	30	58	12
Zm00001eb003470	1126	2158	1425	1872	527	1389	618	601
Zm00001eb003480	1552	780	874	692	1145	694	1126	497
Zm00001eb003490	4665	4253	3526	3946	5965	6335	6353	5913
Zm00001eb003510	588	1007	856	753	671	993	1097	932
Zm00001eb003520	75	76	156	45	173	166	413	240
Zm00001eb003540	1371	1533	1049	1334	1157	1453	1255	1210
Zm00001eb003550	3940	4683	4175	2965	3212	4142	4607	2649
Zm00001eb003560	6	6	3	1	21	4	3	7
Zm00001eb003570	49	84	75	58	8	3	3	1
Zm00001eb003580	664	623	539	337	374	468	588	401
Zm00001eb003600	14	11	17	11	7	17	15	4
Zm00001eb003610	12	15	13	12	15	18	17	1
Zm00001eb003620	21	33	77	54	25	39	60	32
Zm00001eb003630	33	56	95	42	38	32	65	8
Zm00001eb003650	1140	1113	1317	741	964	1206	1201	700
Zm00001eb003660	621	512	757	519	925	780	819	436
Zm00001eb003670	261	335	201	321	360	367	288	291
Zm00001eb003680	1	18	4	14	2	5	2	5
Zm00001eb003690	1154	1584	1282	1100	1301	1830	1848	1681
Zm00001eb003700	184	153	263	66	717	630	1324	253
Zm00001eb003730	67288	38784	49483	45728	67343	59521	70207	51424
Zm00001eb003750	217	235	296	139	255	270	430	183
Zm00001eb003760	293	496	690	294	157	135	219	110
Zm00001eb003780	228	127	146	106	252	138	222	135
Zm00001eb003800	10	2	3	0	0	0	0	0
Zm00001eb003810	1833	2450	1956	1518	2048	2502	2533	1695
Zm00001eb003820	315	711	650	518	104	251	300	117
Zm00001eb003830	3712	3464	3598	5295	3503	3958	4968	3151
Zm00001eb003840	840	1357	1149	1029	1118	1476	1861	1568
Zm00001eb003850	90	82	101	93	184	293	349	276
Zm00001eb003860	27	45	28	16	54	42	88	37
Zm00001eb003870	107	80	124	82	88	41	115	49
Zm00001eb003880	825	795	828	723	519	703	796	688
Zm00001eb003890	753	669	602	411	491	620	628	524
Zm00001eb003900	116	153	169	132	114	162	163	156
Zm00001eb003910	123	156	129	68	117	228	84	47
Zm00001eb003920	26	19	27	22	16	46	32	12
Zm00001eb003930	4847	6436	5811	4641	3686	5318	5104	4590
Zm00001eb003960	39	13	25	13	15	12	18	2
Zm00001eb003970	256	259	309	185	354	366	443	366
Zm00001eb004000	185	111	149	159	125	160	133	88
Zm00001eb004030	1265	2149	1497	1775	2155	3281	3031	2916
Zm00001eb004050	345	557	425	350	347	587	742	663
Zm00001eb004080	86	99	88	67	4	11	10	4
Zm00001eb004090	1370	1665	1492	1536	741	1290	1129	1259
Zm00001eb004120	1716	1830	1320	1437	1587	1954	1840	1995
Zm00001eb004140	66	98	70	42	90	79	87	29
Zm00001eb004160	544	648	689	351	561	595	668	379
Zm00001eb004170	4894	4911	4307	4074	2991	3074	2986	3085
Zm00001eb004180	191	97	131	286	126	127	193	152
Zm00001eb004190	299	342	305	320	218	323	325	262
Zm00001eb004210	1686	971	587	1103	1145	800	1007	802
Zm00001eb004240	191	277	221	168	268	191	281	204
Zm00001eb004250	255	344	228	174	258	278	395	183
Zm00001eb004260	57	39	116	16	60	32	90	12
Zm00001eb004280	60	117	193	29	14	5	14	2
Zm00001eb004290	1091	733	742	798	1280	1094	1351	855
Zm00001eb004300	10	13	39	30	4	2	16	2
Zm00001eb004310	600	423	522	408	596	360	486	312
Zm00001eb004320	493	758	680	591	622	1133	1258	1199
Zm00001eb004330	12	8	8	7	7	4	17	10
Zm00001eb004340	141	269	295	184	127	118	261	194
Zm00001eb004370	1697	1411	1586	1088	1372	1394	1895	1021
Zm00001eb004400	1692	2353	1821	2177	1773	2503	2597	2238
Zm00001eb004410	7	20	42	9	44	38	57	47
Zm00001eb004420	9199	10825	8469	7817	10860	9574	9815	9279
Zm00001eb004430	568	520	384	497	690	842	650	580
Zm00001eb004440	679	820	736	602	300	542	628	368
Zm00001eb004470	418	250	790	281	201	462	425	653
Zm00001eb004480	138	95	153	48	103	74	150	61
Zm00001eb004490	958	432	893	400	607	472	866	486
Zm00001eb004500	648	614	513	459	681	467	615	422
Zm00001eb004510	79	96	74	36	83	73	106	57
Zm00001eb004530	37	50	72	28	13	25	40	37
Zm00001eb004540	514	406	412	186	402	248	383	147
Zm00001eb004550	5415	1897	2870	2436	4621	3465	5013	1995
Zm00001eb004560	64	67	46	25	108	56	46	34
Zm00001eb004570	154	208	129	83	291	318	475	292
Zm00001eb004590	228	346	270	173	213	240	233	206
Zm00001eb004600	3	3	29	2	0	0	0	0
Zm00001eb004630	188	48	88	32	244	106	198	68
Zm00001eb004650	48	261	108	74	71	317	199	210
Zm00001eb004660	6960	7280	6475	5732	4694	5721	5733	4957
Zm00001eb004670	21	11	47	24	11	15	60	0
Zm00001eb004710	14	4	2	7	2	0	5	7
Zm00001eb004750	2	3	0	1	22	32	26	33
Zm00001eb004760	27	132	93	14	111	278	553	118
Zm00001eb004770	104	98	79	61	148	93	98	86
Zm00001eb004780	351	523	436	313	440	585	765	572
Zm00001eb004790	1161	1335	1229	999	961	1079	1736	1078
Zm00001eb004890	175	181	156	152	0	0	0	0
Zm00001eb004900	245	299	190	154	0	0	0	0
Zm00001eb004920	16	20	17	16	48	56	69	82
Zm00001eb004940	895	841	957	622	745	870	1035	853
Zm00001eb004960	110	134	158	90	15	17	19	20
Zm00001eb004990	272	414	420	366	369	361	391	396
Zm00001eb005000	159	187	176	121	145	110	182	126
Zm00001eb005010	183	242	255	100	338	390	670	328
Zm00001eb005020	2019	1316	1437	1907	1165	1070	1017	728
Zm00001eb005030	765	1086	930	593	783	574	1197	710
Zm00001eb005060	147	164	170	76	89	66	94	68
Zm00001eb005070	1956	1690	1335	862	2043	1400	1908	1040
Zm00001eb005100	106	69	78	15	58	40	59	25
Zm00001eb005110	13	7	7	4	26	18	21	4
Zm00001eb005120	187	215	197	166	160	234	206	203
Zm00001eb005130	1710	2361	3062	1828	1898	2305	2244	3445
Zm00001eb005140	1088	2102	2115	1339	1523	2285	2611	1563
Zm00001eb005150	0	0	0	0	8	12	29	4
Zm00001eb005170	2	10	6	1	7	1	9	8
Zm00001eb005190	1048	868	857	1057	739	1076	1115	1057
Zm00001eb005210	0	4	1	0	12	21	14	18
Zm00001eb005220	1968	2899	2210	2091	1387	2563	2204	2172
Zm00001eb005230	302	409	282	330	218	291	351	268
Zm00001eb005250	35	50	55	85	49	75	92	181
Zm00001eb005270	2	0	0	1	29	24	2	6
Zm00001eb005280	902	581	660	222	650	445	692	384
Zm00001eb005300	18	52	24	123	1	16	4	13
Zm00001eb005310	39	66	78	54	48	56	152	66
Zm00001eb005320	1094	1244	1303	1155	564	1013	1151	827
Zm00001eb005330	1859	1883	2292	1793	1625	2065	2849	2213
Zm00001eb005340	559	346	686	289	362	253	613	279
Zm00001eb005350	8	19	5	8	10	27	20	13
Zm00001eb005360	53	52	68	17	49	32	104	30
Zm00001eb005370	342	555	366	376	418	474	390	350
Zm00001eb005380	119	148	134	154	58	119	97	44
Zm00001eb005390	290	209	293	225	231	246	313	281
Zm00001eb005400	579	688	554	575	694	720	760	662
Zm00001eb005420	388	310	482	267	344	271	677	333
Zm00001eb005430	1496	1752	1373	1815	1022	1408	1605	1202
Zm00001eb005440	626	613	519	320	292	284	532	221
Zm00001eb005450	45	52	42	17	26	22	38	5
Zm00001eb005460	3396	1891	1376	3717	2182	2476	2153	3004
Zm00001eb005490	0	0	0	0	13	1	4	4
Zm00001eb005500	232	573	560	744	322	405	581	190
Zm00001eb005510	59	84	57	75	13	17	14	5
Zm00001eb005530	2019	1521	1487	868	1215	1140	867	429
Zm00001eb005540	122	172	182	81	100	135	239	99
Zm00001eb005550	3593	4521	3658	3908	5208	7115	5657	3578
Zm00001eb005570	109	11	20	12	41	6	35	3
Zm00001eb005580	43	159	151	133	10	26	21	2
Zm00001eb005590	0	5	7	2	0	17	7	8
Zm00001eb005600	382	629	567	366	344	712	1007	670
Zm00001eb005630	1005	1438	1242	1133	926	1073	1243	1218
Zm00001eb005640	37	78	88	69	35	82	125	116
Zm00001eb005650	4	8	1	2	16	0	9	7
Zm00001eb005660	2875	4647	4122	3414	2345	4375	4270	4177
Zm00001eb005670	338	298	400	147	233	163	273	172
Zm00001eb005680	438	368	427	277	215	279	275	172
Zm00001eb005690	326	196	595	265	287	170	495	268
Zm00001eb005700	981	939	968	1653	656	1001	908	1599
Zm00001eb005710	1101	1006	971	779	636	561	811	644
Zm00001eb005740	10	9	4	1	15	10	35	32
Zm00001eb005760	126	98	136	39	99	175	155	81
Zm00001eb005770	414	325	373	112	336	338	492	201
Zm00001eb005780	68	73	92	96	77	77	77	48
Zm00001eb005800	1	4	1	1	12	4	1	22
Zm00001eb005810	40	66	61	17	31	61	84	38
Zm00001eb005820	972	1072	899	634	992	971	1243	666
Zm00001eb005830	9	13	21	15	14	12	68	29
Zm00001eb005840	841	1374	1184	1028	963	2138	1745	1845
Zm00001eb005850	720	309	508	372	398	434	612	102
Zm00001eb005860	267	369	338	308	414	501	516	608
Zm00001eb005890	87	92	113	68	60	65	110	45
Zm00001eb005900	219	226	247	184	214	250	309	119
Zm00001eb005920	2035	1278	1294	1282	814	678	957	457
Zm00001eb005950	1610	1546	1668	904	1217	1650	2117	1253
Zm00001eb005960	5039	7026	5816	5909	4264	6524	5798	5537
Zm00001eb005970	92	55	77	26	78	86	151	52
Zm00001eb005980	50	26	16	22	53	75	38	37
Zm00001eb005990	354	422	189	357	138	343	142	99
Zm00001eb006000	556	1423	644	561	825	1643	812	330
Zm00001eb006010	43	56	42	39	109	148	174	125
Zm00001eb006020	13432	7478	10393	6352	8767	6369	14454	7655
Zm00001eb006040	591	340	403	384	451	459	526	236
Zm00001eb006050	7	3	0	0	15	11	40	15
Zm00001eb006060	13	28	10	32	8	13	9	6
Zm00001eb006070	29	17	21	9	30	11	17	14
Zm00001eb006080	1264	1117	1037	694	921	940	1179	531
Zm00001eb006090	43	24	31	6	26	17	30	5
Zm00001eb006100	91	145	71	116	34	76	75	59
Zm00001eb006140	1293	1199	891	952	1056	1230	1121	893
Zm00001eb006150	274	522	442	288	370	793	733	715
Zm00001eb006160	55	68	104	37	128	63	160	22
Zm00001eb006170	10	5	8	16	5	11	13	12
Zm00001eb006180	1858	1383	1209	1117	1104	1515	1604	502
Zm00001eb006200	159	396	109	206	59	154	76	179
Zm00001eb006210	2764	4183	1992	3764	769	3036	1380	2366
Zm00001eb006260	17	2	0	0	8	7	1	0
Zm00001eb006270	1750	1952	1859	1233	1472	1876	1829	1588
Zm00001eb006280	0	0	0	0	6	2	12	4
Zm00001eb006300	1530	1457	1332	1474	1498	1672	1624	2050
Zm00001eb006310	509	247	18	802	258	181	31	1283
Zm00001eb006320	130	179	123	150	92	129	168	102
Zm00001eb006330	53	55	39	15	50	30	64	34
Zm00001eb006340	24	6	14	8	28	13	22	18
Zm00001eb006350	3943	2908	2934	3340	3679	4052	4799	2434
Zm00001eb006360	192	356	352	161	204	269	384	242
Zm00001eb006380	867	680	696	526	726	645	799	444
Zm00001eb006390	766	582	586	399	681	592	562	329
Zm00001eb006400	844	817	787	782	765	891	923	864
Zm00001eb006410	3778	2131	2316	1649	1998	1789	2717	561
Zm00001eb006420	1030	676	483	1170	404	321	188	185
Zm00001eb006430	10	3	3	9	8	4	2	6
Zm00001eb006440	627	398	248	654	862	670	455	385
Zm00001eb006450	453	340	615	337	434	421	781	454
Zm00001eb006470	1120	779	778	488	1140	663	986	592
Zm00001eb006480	282	223	436	142	40	37	144	64
Zm00001eb006490	245	702	508	282	1	0	0	0
Zm00001eb006510	944	1351	947	1215	797	1135	1058	969
Zm00001eb006520	165	102	78	45	136	62	84	44
Zm00001eb006530	3217	3358	3562	2286	1653	2102	4282	1496
Zm00001eb006540	767	1042	855	753	679	790	931	748
Zm00001eb006550	57	101	52	68	57	82	95	60
Zm00001eb006560	952	1359	913	984	895	1226	1182	993
Zm00001eb006570	818	836	932	576	708	763	1063	533
Zm00001eb006590	211	135	169	102	107	142	170	80
Zm00001eb006600	322	343	278	198	1	2	0	4
Zm00001eb006610	603	319	210	178	442	230	292	167
Zm00001eb006620	768	734	762	806	977	899	738	738
Zm00001eb006660	803	467	472	621	278	352	419	388
Zm00001eb006670	55	31	15	7	27	19	26	13
Zm00001eb006680	424	327	698	106	368	489	767	145
Zm00001eb006690	505	827	1157	655	774	929	807	523
Zm00001eb006720	386	371	324	585	289	359	219	251
Zm00001eb006730	14	7	7	9	1	4	1	4
Zm00001eb006760	77	85	54	112	148	280	211	165
Zm00001eb006770	2949	2907	2827	1614	1716	2564	3278	1513
Zm00001eb006830	103	105	139	101	217	93	357	211
Zm00001eb006840	99	34	63	14	0	0	0	0
Zm00001eb006850	428	545	422	368	485	608	674	357
Zm00001eb006860	345	552	444	284	176	406	470	360
Zm00001eb006870	1496	1756	1427	1211	907	1226	1058	953
Zm00001eb006880	1393	1754	1726	1641	770	944	1119	797
Zm00001eb006890	421	332	334	155	41	39	62	18
Zm00001eb006900	57	82	65	57	0	0	0	2
Zm00001eb006910	532	515	442	457	576	815	992	719
Zm00001eb006920	1062	1671	1264	1312	929	1475	1543	1323
Zm00001eb006930	248	169	166	138	270	254	261	332
Zm00001eb006940	211	139	201	87	35	27	35	13
Zm00001eb007000	244	253	356	277	227	238	248	116
Zm00001eb007010	482	674	508	495	418	706	575	730
Zm00001eb007030	706	1010	590	820	678	825	711	847
Zm00001eb007050	1708	2005	1561	1390	1550	1786	1939	1467
Zm00001eb007060	116	110	63	79	97	79	77	114
Zm00001eb007070	235	230	500	136	321	243	713	153
Zm00001eb007080	6	9	3	3	4	9	15	3
Zm00001eb007090	2852	3787	3284	3359	2291	3204	4181	3547
Zm00001eb007100	73	41	151	23	0	0	2	0
Zm00001eb007110	12	1	3	0	0	0	0	0
Zm00001eb007130	615	894	943	595	413	520	772	643
Zm00001eb007140	1284	2029	2194	988	1296	1690	3184	1191
Zm00001eb007150	350	335	314	276	484	681	816	695
Zm00001eb007170	921	1151	1360	1430	977	1168	1256	1158
Zm00001eb007180	659	1225	711	651	623	805	699	523
Zm00001eb007190	110	74	84	70	92	62	131	48
Zm00001eb007200	42	65	33	30	19	29	36	18
Zm00001eb007220	529	541	472	389	520	509	515	488
Zm00001eb007230	23	17	17	18	50	46	44	14
Zm00001eb007240	418	621	521	390	344	605	681	475
Zm00001eb007250	1472	2442	1247	1630	804	1920	1123	841
Zm00001eb007270	414	230	338	236	263	583	364	297
Zm00001eb007280	156	209	210	118	44	74	140	52
Zm00001eb007310	354	310	303	244	441	343	365	315
