ENSEMBL_GeneID	C_24_Susc_counts	C_24_Tol_counts	C_6_Susc_counts	C_6_Tol_counts	T_24_Susc_counts	T_24_Tol_counts	T_6_Susc_counts	T_6_Tol_counts
gene_id	C_24_Susc	C_24_Tol	C_6_Susc	C_6_Tol	T_24_Susc	T_24_Tol	T_6_Susc	T_6_Tol
Zm00001eb000010	276.72	346	267	250	164.97	237	285.98	194
Zm00001eb000020	1819	1344	1623	918	1608	1049	2546	1362
Zm00001eb000050	0	1	0	4	0	0	0	1
Zm00001eb000060	157	0	170	0	66	0	132	0
Zm00001eb000070	0	0	0	0	0	0	0	0
Zm00001eb000080	212	354	233	242	130	174	209	219
Zm00001eb000100	0	0	0	0	0	0	0	0
Zm00001eb000110	0	0	0	0	0	0	0	0
Zm00001eb000120	1	18	1	17	1	4	0	2
Zm00001eb000140	0	1	0	0	0	0	0	0
Zm00001eb000150	0	0	0	0	0	0	0	0
Zm00001eb000170	314	640	232	461	214	411	246	411
Zm00001eb000180	0	0	0	0	0	0	0	0
Zm00001eb000190	941.62	1435.14	862.05	916.69	639.86	940.65	1359.97	1006.63
Zm00001eb000200	559.38	365.66	431.95	211.31	961.14	1943.35	337.03	958.37
Zm00001eb000210	184	247	296	245	174	121	213	178
Zm00001eb000220	995	875	745	560	815	708	834	824
Zm00001eb000230	1046.99	880.74	1074.76	598.6	586.24	393.54	784.91	541.52
Zm00001eb000240	150.01	216.26	192.24	179.4	132.76	76.46	155.09	116.48
Zm00001eb000250	0	0	0	0	0	0	0	0
Zm00001eb000270	0	0	4	0	0	0	0	0
Zm00001eb000290	0	0	0	0	0	0	0	0
Zm00001eb000300	0	0	0	0	0	0	0	0
Zm00001eb000310	1	0	1	0	0	0	1	1
Zm00001eb000320	2339	2533	2487	1864	1475	1557	2018	2144
Zm00001eb000330	67	58	73	80	47	45	85	72
Zm00001eb000340	5053.17	7130.96	4338.55	4490.32	4202.69	5489.58	7110.9	6014.65
Zm00001eb000360	0	0	0	0	0	0	0	0
Zm00001eb000370	2419	1748	2588	944	1672	1282	2464	1839
Zm00001eb000380	1528	1788	833	486	213	126	361	452
Zm00001eb000390	18	15	15	6	32	3	18	17
Zm00001eb000400	23	67.72	28.89	47.84	8	16	18	62
Zm00001eb000410	0	3.28	4.11	3.16	1	0	2	0
Zm00001eb000420	200	231	169	80	151	92	257	83
Zm00001eb000430	3.5	182.88	2.5	119.52	9.5	101.96	6.5	228.13
Zm00001eb000440	3.5	26.12	2.5	23.48	9.5	110.04	6.5	7.87
Zm00001eb000450	1391	1516	2775	2190	4481	2791	2226	2261
Zm00001eb000460	0	0	0	0	0	0	0	0
Zm00001eb000470	34	27	112	76	51	12	35	24
