gene_id	T_6_Susc
Zm00001eb000010	285.98
Zm00001eb000020	2546
Zm00001eb000050	0
Zm00001eb000060	132
Zm00001eb000070	0
Zm00001eb000080	209
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	0
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	246
Zm00001eb000180	0
Zm00001eb000190	1359.97
Zm00001eb000200	337.03
Zm00001eb000210	213
Zm00001eb000220	834
Zm00001eb000230	784.91
Zm00001eb000240	155.09
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	1
Zm00001eb000320	2018
Zm00001eb000330	85
Zm00001eb000340	7110.9
Zm00001eb000360	0
Zm00001eb000370	2464
Zm00001eb000380	361
Zm00001eb000390	18
Zm00001eb000400	18
Zm00001eb000410	2
Zm00001eb000420	257
Zm00001eb000430	6.5
Zm00001eb000440	6.5
Zm00001eb000450	2226
Zm00001eb000460	0
Zm00001eb000470	35
Zm00001eb000480	4506
Zm00001eb000490	2611
Zm00001eb000500	161
Zm00001eb000510	76
Zm00001eb000520	1962
Zm00001eb000530	0
Zm00001eb000540	20
Zm00001eb000550	442
Zm00001eb000560	0
Zm00001eb000570	42
Zm00001eb000580	102
Zm00001eb000590	1860
Zm00001eb000600	104
Zm00001eb000620	572
Zm00001eb000630	0
Zm00001eb000640	87
Zm00001eb000650	54
Zm00001eb000660	256
Zm00001eb000670	1011
Zm00001eb000680	39
Zm00001eb000690	1138
Zm00001eb000700	946
Zm00001eb000710	286
Zm00001eb000720	51
Zm00001eb000740	168
Zm00001eb000750	11
Zm00001eb000760	2
Zm00001eb000770	801
Zm00001eb000780	1287
Zm00001eb000790	137.89
Zm00001eb000800	1605.11
Zm00001eb000810	0
Zm00001eb000820	356
Zm00001eb000830	7
Zm00001eb000840	109
Zm00001eb000850	540
Zm00001eb000860	2331
Zm00001eb000870	2655
Zm00001eb000880	572
Zm00001eb000890	472
Zm00001eb000900	68
Zm00001eb000910	303
Zm00001eb000920	1376
Zm00001eb000930	111
Zm00001eb000940	0
Zm00001eb000960	72
Zm00001eb000970	1611.39
Zm00001eb000980	349
Zm00001eb000990	575
Zm00001eb001000	738
Zm00001eb001010	273.37
Zm00001eb001020	177.63
Zm00001eb001030	0
Zm00001eb001040	742
Zm00001eb001050	300
Zm00001eb001060	32
Zm00001eb001070	511
Zm00001eb001090	34
Zm00001eb001100	0
Zm00001eb001110	1197
Zm00001eb001120	27
Zm00001eb001130	178
Zm00001eb001140	9
Zm00001eb001150	161.05
Zm00001eb001160	200.95
Zm00001eb001170	36.33
Zm00001eb001180	49.67
Zm00001eb001190	286
Zm00001eb001200	234
Zm00001eb001210	0
Zm00001eb001220	76
Zm00001eb001230	1
Zm00001eb001240	679
Zm00001eb001250	0
Zm00001eb001260	1864.24
Zm00001eb001270	915.48
Zm00001eb001280	128
Zm00001eb001290	163
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	1214.7
Zm00001eb001350	222
Zm00001eb001360	619
Zm00001eb001370	19.69
Zm00001eb001400	2426
Zm00001eb001410	1
Zm00001eb001420	1
Zm00001eb001430	8583
Zm00001eb001440	80
Zm00001eb001460	4437
Zm00001eb001470	227
Zm00001eb001480	0
Zm00001eb001490	49.13
Zm00001eb001500	117.87
Zm00001eb001510	372
Zm00001eb001520	9
Zm00001eb001530	658
Zm00001eb001550	11
Zm00001eb001560	1553
Zm00001eb001570	966
Zm00001eb001580	0
Zm00001eb001590	51
Zm00001eb001600	31
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	143
Zm00001eb001640	289
Zm00001eb001650	580
Zm00001eb001660	0
Zm00001eb001670	75
Zm00001eb001680	789
Zm00001eb001690	35
Zm00001eb001700	213
Zm00001eb001710	712
Zm00001eb001720	134
Zm00001eb001740	2
Zm00001eb001760	76
Zm00001eb001770	57
Zm00001eb001780	65
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	749
Zm00001eb001820	14
Zm00001eb001830	243.22
Zm00001eb001840	532.78
Zm00001eb001860	1115
Zm00001eb001870	1735
Zm00001eb001880	673
Zm00001eb001890	2
Zm00001eb001900	213
Zm00001eb001910	820
Zm00001eb001920	8
Zm00001eb001940	1322
Zm00001eb001950	24
Zm00001eb001960	0
Zm00001eb001970	8
Zm00001eb001980	113
Zm00001eb001990	61
Zm00001eb002000	900
Zm00001eb002010	303.01
Zm00001eb002020	385.99
Zm00001eb002030	186
Zm00001eb002040	504
Zm00001eb002050	0
Zm00001eb002060	9537
Zm00001eb002070	104
Zm00001eb002080	12
Zm00001eb002090	1029
Zm00001eb002100	1720
Zm00001eb002140	0
Zm00001eb002150	31.05
Zm00001eb002170	517
Zm00001eb002180	2089
Zm00001eb002190	4
Zm00001eb002200	10
Zm00001eb002210	0
Zm00001eb002220	4335.93
Zm00001eb002240	103
Zm00001eb002250	4
Zm00001eb002260	1813
Zm00001eb002270	325
Zm00001eb002280	4
Zm00001eb002290	0
Zm00001eb002300	1
Zm00001eb002310	43
Zm00001eb002320	3118
Zm00001eb002330	7
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	5
Zm00001eb002390	77
Zm00001eb002410	0
Zm00001eb002420	2383.99
Zm00001eb002430	1484
Zm00001eb002440	332
Zm00001eb002450	213
Zm00001eb002460	196
Zm00001eb002470	47
Zm00001eb002480	1.16
Zm00001eb002490	1028.84
Zm00001eb002510	144
Zm00001eb002520	3350
Zm00001eb002530	1589.06
Zm00001eb002540	439
Zm00001eb002550	247
Zm00001eb002560	135
Zm00001eb002570	556
Zm00001eb002590	1498
Zm00001eb002600	22
Zm00001eb002610	692
Zm00001eb002620	5240
Zm00001eb002640	3566
Zm00001eb002650	0
Zm00001eb002660	50
Zm00001eb002680	318
Zm00001eb002690	622.81
Zm00001eb002700	82.19
Zm00001eb002710	0
Zm00001eb002720	323.72
Zm00001eb002730	57.28
Zm00001eb002740	533
Zm00001eb002750	0
Zm00001eb002760	450
Zm00001eb002770	0
Zm00001eb002780	1608
Zm00001eb002790	1308.12
Zm00001eb002800	1995
Zm00001eb002810	1417
Zm00001eb002820	382
Zm00001eb002830	245
Zm00001eb002840	0
Zm00001eb002850	1183
Zm00001eb002860	0
Zm00001eb002870	33
Zm00001eb002880	2
Zm00001eb002890	0
Zm00001eb002900	2.18
Zm00001eb002910	42.21
Zm00001eb002920	213.58
Zm00001eb002930	103.42
Zm00001eb002940	381
Zm00001eb002950	190
Zm00001eb002960	5076.8
Zm00001eb002970	0
Zm00001eb002980	1
Zm00001eb002990	0
Zm00001eb003000	275.02
Zm00001eb003010	455.69
Zm00001eb003020	370.29
Zm00001eb003030	470
Zm00001eb003040	868.71
Zm00001eb003050	19.08
Zm00001eb003060	0
Zm00001eb003070	2556
Zm00001eb003080	520.27
Zm00001eb003090	19.73
Zm00001eb003100	0
Zm00001eb003110	75
Zm00001eb003120	0
Zm00001eb003130	215
Zm00001eb003140	144
Zm00001eb003150	0
Zm00001eb003160	0
Zm00001eb003170	636
Zm00001eb003180	11067
Zm00001eb003190	284
Zm00001eb003200	21
Zm00001eb003210	0
Zm00001eb003220	1505.18
Zm00001eb003230	26.82
Zm00001eb003240	773
Zm00001eb003270	0
Zm00001eb003280	0
Zm00001eb003290	0
Zm00001eb003300	0
Zm00001eb003310	0
Zm00001eb003330	17
Zm00001eb003340	35
Zm00001eb003350	4366
Zm00001eb003360	1318
Zm00001eb003370	0
Zm00001eb003380	0
Zm00001eb003390	0
Zm00001eb003400	0
Zm00001eb003420	3359
Zm00001eb003440	4572
Zm00001eb003450	7
Zm00001eb003460	95
Zm00001eb003470	1339
Zm00001eb003480	750
Zm00001eb003490	3866
Zm00001eb003510	828
Zm00001eb003520	46
Zm00001eb003530	0
Zm00001eb003540	1148
Zm00001eb003550	3819
Zm00001eb003560	0
Zm00001eb003570	212.98
Zm00001eb003580	756.77
Zm00001eb003590	122.23
Zm00001eb003600	9
Zm00001eb003610	7
Zm00001eb003620	28
Zm00001eb003630	73
Zm00001eb003650	720
Zm00001eb003660	481
Zm00001eb003670	277
Zm00001eb003680	18
Zm00001eb003690	1485
Zm00001eb003700	116
Zm00001eb003710	0
Zm00001eb003720	0
Zm00001eb003730	29413
Zm00001eb003740	0
Zm00001eb003750	194
Zm00001eb003760	424
Zm00001eb003770	0
Zm00001eb003780	51
Zm00001eb003790	0
Zm00001eb003800	1
Zm00001eb003810	1913
Zm00001eb003820	666
Zm00001eb003830	2866
Zm00001eb003840	1074
Zm00001eb003850	16
Zm00001eb003860	18
Zm00001eb003870	63
Zm00001eb003880	664
Zm00001eb003890	592
Zm00001eb003900	130
Zm00001eb003910	291
Zm00001eb003920	63
Zm00001eb003930	8098
Zm00001eb003940	0
Zm00001eb003950	0
Zm00001eb003960	8
Zm00001eb003970	253
Zm00001eb004000	89
Zm00001eb004020	2
Zm00001eb004030	1798
Zm00001eb004040	0
Zm00001eb004050	481
Zm00001eb004060	0
Zm00001eb004070	0
Zm00001eb004080	0
Zm00001eb004090	1606
Zm00001eb004100	0
Zm00001eb004110	680
Zm00001eb004120	1625
Zm00001eb004130	0
Zm00001eb004140	77
Zm00001eb004150	8
Zm00001eb004160	467
Zm00001eb004170	3923.69
Zm00001eb004180	59
Zm00001eb004190	192
Zm00001eb004200	1
Zm00001eb004210	775
Zm00001eb004220	0
Zm00001eb004230	0
Zm00001eb004240	179
Zm00001eb004250	250
Zm00001eb004260	32
Zm00001eb004280	49
Zm00001eb004290	509
Zm00001eb004300	9
Zm00001eb004310	264
Zm00001eb004320	775.53
Zm00001eb004330	0
Zm00001eb004340	196
Zm00001eb004350	0
Zm00001eb004360	0
Zm00001eb004370	1200
Zm00001eb004380	0
Zm00001eb004390	2605
Zm00001eb004400	2474.99
Zm00001eb004410	11.01
Zm00001eb004420	7703
Zm00001eb004430	373.34
Zm00001eb004440	425.66
Zm00001eb004450	23.49
Zm00001eb004460	35.51
Zm00001eb004470	178
Zm00001eb004480	72
Zm00001eb004490	358
Zm00001eb004500	529.12
Zm00001eb004510	62
Zm00001eb004530	8
Zm00001eb004540	364
Zm00001eb004550	1737
Zm00001eb004560	68.27
Zm00001eb004570	135
Zm00001eb004590	287
Zm00001eb004600	0
Zm00001eb004610	0
Zm00001eb004630	24
Zm00001eb004640	0
Zm00001eb004650	40
Zm00001eb004660	6153
Zm00001eb004670	3
Zm00001eb004690	0
Zm00001eb004710	3
Zm00001eb004720	29.33
Zm00001eb004730	2807.67
Zm00001eb004740	135.16
Zm00001eb004750	730.84
Zm00001eb004760	48
Zm00001eb004770	96
Zm00001eb004780	221
Zm00001eb004790	1118
Zm00001eb004800	0
Zm00001eb004810	0
Zm00001eb004820	0
Zm00001eb004830	0
Zm00001eb004840	0
Zm00001eb004850	0
Zm00001eb004860	0
Zm00001eb004880	0
Zm00001eb004890	16
Zm00001eb004900	0
Zm00001eb004920	0
Zm00001eb004940	717
Zm00001eb004950	0
Zm00001eb004960	406.12
Zm00001eb004970	0
Zm00001eb004980	0
Zm00001eb004990	345
Zm00001eb005000	163
Zm00001eb005010	149
Zm00001eb005020	1007
Zm00001eb005030	705
Zm00001eb005040	0
Zm00001eb005060	120
Zm00001eb005070	1551
Zm00001eb005080	0
Zm00001eb005100	62
Zm00001eb005110	5
Zm00001eb005120	2
Zm00001eb005130	2007
Zm00001eb005140	1804
Zm00001eb005150	0
Zm00001eb005160	0
Zm00001eb005170	13.85
Zm00001eb005180	55.15
Zm00001eb005190	553
Zm00001eb005200	0
Zm00001eb005210	3
Zm00001eb005220	1711
Zm00001eb005230	396.81
Zm00001eb005240	0
Zm00001eb005250	19
Zm00001eb005260	0
Zm00001eb005270	0
Zm00001eb005280	452
Zm00001eb005290	0
Zm00001eb005300	39
Zm00001eb005310	66
Zm00001eb005320	1242
Zm00001eb005330	1035
Zm00001eb005340	289
Zm00001eb005350	17
Zm00001eb005360	89.87
Zm00001eb005370	618.13
Zm00001eb005380	122
Zm00001eb005390	39.76
Zm00001eb005400	395
Zm00001eb005410	0
Zm00001eb005420	182
Zm00001eb005430	1120
Zm00001eb005440	335.18
Zm00001eb005450	30
Zm00001eb005460	1360
Zm00001eb005470	0
Zm00001eb005480	0
Zm00001eb005490	0
Zm00001eb005500	80
Zm00001eb005510	0
Zm00001eb005530	1391
Zm00001eb005540	0
Zm00001eb005550	3406
Zm00001eb005560	0
Zm00001eb005570	11
Zm00001eb005580	143
Zm00001eb005590	3
Zm00001eb005600	444
Zm00001eb005610	4
Zm00001eb005630	1303
Zm00001eb005640	36
Zm00001eb005650	4
Zm00001eb005660	4495
Zm00001eb005670	170
Zm00001eb005680	34
Zm00001eb005690	108
