gene_id	T_24_Tol
Zm00001eb000010	237
Zm00001eb000020	1049
Zm00001eb000050	0
Zm00001eb000060	0
Zm00001eb000070	0
Zm00001eb000080	174
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	4
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	411
Zm00001eb000180	0
Zm00001eb000190	940.65
Zm00001eb000200	1943.35
Zm00001eb000210	121
Zm00001eb000220	708
Zm00001eb000230	393.54
Zm00001eb000240	76.46
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	0
Zm00001eb000320	1557
Zm00001eb000330	45
Zm00001eb000340	5489.58
Zm00001eb000360	0
Zm00001eb000370	1282
Zm00001eb000380	126
Zm00001eb000390	3
Zm00001eb000400	16
Zm00001eb000410	0
Zm00001eb000420	92
Zm00001eb000430	101.96
Zm00001eb000440	110.04
Zm00001eb000450	2791
Zm00001eb000460	0
Zm00001eb000470	12
Zm00001eb000480	4894
Zm00001eb000490	3276
Zm00001eb000500	144
Zm00001eb000510	66
Zm00001eb000520	979
Zm00001eb000530	0
Zm00001eb000540	6
Zm00001eb000550	293
Zm00001eb000560	11.98
Zm00001eb000570	37
Zm00001eb000580	10
Zm00001eb000590	1075
Zm00001eb000600	143
Zm00001eb000620	442
Zm00001eb000630	0
Zm00001eb000640	34
Zm00001eb000650	96
Zm00001eb000660	26
Zm00001eb000670	822
Zm00001eb000680	24
Zm00001eb000690	993
Zm00001eb000700	1060
Zm00001eb000710	195
Zm00001eb000720	46
Zm00001eb000740	83
Zm00001eb000750	18
Zm00001eb000760	2
Zm00001eb000770	287
Zm00001eb000780	1164
Zm00001eb000790	82.81
Zm00001eb000800	1980.19
Zm00001eb000810	0
Zm00001eb000820	285
Zm00001eb000830	0
Zm00001eb000840	405
Zm00001eb000850	46
Zm00001eb000860	1522
Zm00001eb000870	1932
Zm00001eb000880	594
Zm00001eb000890	356
Zm00001eb000900	114
Zm00001eb000910	196
Zm00001eb000920	1216
Zm00001eb000930	209.97
Zm00001eb000940	52.03
Zm00001eb000960	39
Zm00001eb000970	896
Zm00001eb000980	307
Zm00001eb000990	161
Zm00001eb001000	486
Zm00001eb001010	212.5
Zm00001eb001020	81.5
Zm00001eb001030	0
Zm00001eb001040	743
Zm00001eb001050	224
Zm00001eb001060	48
Zm00001eb001070	465
Zm00001eb001090	5
Zm00001eb001100	0
Zm00001eb001110	1103
Zm00001eb001120	11
Zm00001eb001130	148
Zm00001eb001140	38
Zm00001eb001150	203.81
Zm00001eb001160	505.19
Zm00001eb001170	300.12
Zm00001eb001180	61.88
Zm00001eb001190	166
Zm00001eb001200	293
Zm00001eb001210	0
Zm00001eb001220	46
Zm00001eb001230	0
Zm00001eb001240	531
Zm00001eb001250	0
Zm00001eb001260	1505.25
Zm00001eb001270	308.67
Zm00001eb001280	159
Zm00001eb001290	71
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	323
Zm00001eb001350	125
Zm00001eb001360	388
Zm00001eb001370	32.89
Zm00001eb001400	2093
Zm00001eb001410	0
Zm00001eb001420	3
Zm00001eb001430	7396
Zm00001eb001440	25
Zm00001eb001460	4148
Zm00001eb001470	255
Zm00001eb001480	0
Zm00001eb001490	38.53
Zm00001eb001500	328.47
Zm00001eb001510	236
Zm00001eb001520	4
Zm00001eb001530	246
Zm00001eb001550	34
Zm00001eb001560	1331
Zm00001eb001570	940
Zm00001eb001580	0
Zm00001eb001590	64
Zm00001eb001600	40
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	186
Zm00001eb001640	478
Zm00001eb001650	368
Zm00001eb001660	0
Zm00001eb001670	17
Zm00001eb001680	559
Zm00001eb001690	13
Zm00001eb001700	328
Zm00001eb001710	376
Zm00001eb001720	280
Zm00001eb001740	0
Zm00001eb001760	100
Zm00001eb001770	20
Zm00001eb001780	76
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	242
Zm00001eb001820	5
Zm00001eb001830	254.93
Zm00001eb001840	758.07
Zm00001eb001860	2209
Zm00001eb001870	548
Zm00001eb001880	629
Zm00001eb001890	3
Zm00001eb001900	104
Zm00001eb001910	666
Zm00001eb001920	27
Zm00001eb001940	610
Zm00001eb001950	203
Zm00001eb001960	4.73
Zm00001eb001970	7.27
Zm00001eb001980	289
Zm00001eb001990	54
Zm00001eb002000	804
Zm00001eb002010	69.19
Zm00001eb002020	323.28
Zm00001eb002030	122
Zm00001eb002040	638
Zm00001eb002050	0
Zm00001eb002060	4742
Zm00001eb002070	97
Zm00001eb002080	5
Zm00001eb002090	625
Zm00001eb002100	920
Zm00001eb002140	0
Zm00001eb002150	12.24
Zm00001eb002170	475
Zm00001eb002180	1325
Zm00001eb002190	9
Zm00001eb002200	51
Zm00001eb002210	0
Zm00001eb002220	3089.6
Zm00001eb002240	96
Zm00001eb002250	0
Zm00001eb002260	1757
Zm00001eb002270	362
Zm00001eb002280	0
Zm00001eb002290	0
Zm00001eb002300	0
Zm00001eb002310	25
Zm00001eb002320	2866
Zm00001eb002330	24
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	2
Zm00001eb002390	41
Zm00001eb002410	0
Zm00001eb002420	1749.92
Zm00001eb002430	1138
Zm00001eb002440	263
Zm00001eb002450	125
Zm00001eb002460	128
Zm00001eb002470	51
Zm00001eb002480	2.23
Zm00001eb002490	943.77
Zm00001eb002510	183
Zm00001eb002520	1871
Zm00001eb002530	1207
Zm00001eb002540	568
Zm00001eb002550	377
Zm00001eb002560	203
Zm00001eb002570	425
Zm00001eb002590	456
Zm00001eb002600	52
Zm00001eb002610	420
Zm00001eb002620	5329
Zm00001eb002640	3871
Zm00001eb002650	0
Zm00001eb002660	8
Zm00001eb002680	126
Zm00001eb002690	564.36
Zm00001eb002700	62.64
Zm00001eb002710	0
Zm00001eb002720	328.67
Zm00001eb002730	30.33
Zm00001eb002740	446
Zm00001eb002750	0
Zm00001eb002760	94
Zm00001eb002770	0
Zm00001eb002780	999
Zm00001eb002790	885.45
Zm00001eb002800	1466
Zm00001eb002810	1338
Zm00001eb002820	394
Zm00001eb002830	225
Zm00001eb002840	0
Zm00001eb002850	1538
Zm00001eb002860	2
Zm00001eb002870	13
Zm00001eb002880	0
Zm00001eb002890	0
Zm00001eb002900	0
Zm00001eb002910	646.44
Zm00001eb002920	227.87
Zm00001eb002930	146.13
Zm00001eb002940	414
Zm00001eb002950	287
Zm00001eb002960	3109.24
Zm00001eb002970	0
Zm00001eb002980	1
Zm00001eb002990	0
Zm00001eb003000	195.53
Zm00001eb003010	363.66
Zm00001eb003020	231.81
Zm00001eb003030	417
Zm00001eb003040	111.56
Zm00001eb003050	0
Zm00001eb003060	0
Zm00001eb003070	1090
Zm00001eb003080	563.63
Zm00001eb003090	14.37
Zm00001eb003100	0
Zm00001eb003110	132
Zm00001eb003120	0
Zm00001eb003130	211
Zm00001eb003140	104
Zm00001eb003150	1
Zm00001eb003160	0
Zm00001eb003170	905
Zm00001eb003180	7965
Zm00001eb003190	117
Zm00001eb003200	30
Zm00001eb003210	3
Zm00001eb003220	896
Zm00001eb003230	0
Zm00001eb003240	1365
Zm00001eb003270	0
Zm00001eb003280	0
Zm00001eb003290	0
Zm00001eb003300	0
Zm00001eb003310	0
Zm00001eb003330	3
Zm00001eb003340	16
Zm00001eb003350	3770
Zm00001eb003360	1435
Zm00001eb003370	0
Zm00001eb003380	0
Zm00001eb003390	0
Zm00001eb003400	3
Zm00001eb003420	2561
Zm00001eb003440	6299
Zm00001eb003450	0
Zm00001eb003460	6
Zm00001eb003470	289
Zm00001eb003480	480
Zm00001eb003490	5498
Zm00001eb003510	745
Zm00001eb003520	193
Zm00001eb003530	0
Zm00001eb003540	999
Zm00001eb003550	2344
Zm00001eb003560	2
Zm00001eb003570	8.07
Zm00001eb003580	457
Zm00001eb003590	0
Zm00001eb003600	4
Zm00001eb003610	1
Zm00001eb003620	30
Zm00001eb003630	20
Zm00001eb003650	566
Zm00001eb003660	413
Zm00001eb003670	257
Zm00001eb003680	4
Zm00001eb003690	1207
Zm00001eb003700	113
Zm00001eb003710	0
Zm00001eb003720	0
Zm00001eb003730	38540
Zm00001eb003740	0
Zm00001eb003750	153
Zm00001eb003760	93
Zm00001eb003770	0
Zm00001eb003780	63
Zm00001eb003790	0
Zm00001eb003800	0
Zm00001eb003810	1307.43
Zm00001eb003820	6
Zm00001eb003830	3063
Zm00001eb003840	1329
Zm00001eb003850	129
Zm00001eb003860	22
Zm00001eb003870	37
Zm00001eb003880	611
Zm00001eb003890	457
Zm00001eb003900	109
Zm00001eb003910	215
Zm00001eb003920	89
Zm00001eb003930	3984.74
Zm00001eb003940	0
Zm00001eb003950	3.05
Zm00001eb003960	2
