ENSEMBL_GeneID	name_C_24_II	name_C_24_III	name_C_6_II	name_C_6_III	name_T_24_II	name_T_24_III	name_T_6_II	name_T_6_III
__alignment_not_unique	10913583	7442348	6001724	6824166	7938458	6391299	7755239	7709301
__ambiguous	1474164	1349867	1208111	1571104	1114892	1178915	1322895	1364673
__no_feature	11936724	9565075	8997983	11581902	14331901	7958783	12135118	7918147
__not_aligned	0	0	0	0	0	0	0	0
__too_low_aQual	0	0	0	0	0	0	0	0
Zm00001eb000010	465	320	313	333	275	193	248	376
Zm00001eb000020	1474	1859	940	1658	1132	1637	1445	2619
Zm00001eb000050	0	0	0	0	0	0	1	0
Zm00001eb000060	0	300	0	318	0	131	0	221
Zm00001eb000070	220	2	155	3	91	3	88	0
Zm00001eb000080	663	411	440	463	379	294	418	435
Zm00001eb000100	0	0	0	0	0	0	0	0
Zm00001eb000110	7	0	0	0	4	0	0	0
Zm00001eb000120	22	2	22	1	5	1	4	0
Zm00001eb000140	40	19	43	36	13	18	16	10
Zm00001eb000150	0	0	0	0	0	0	0	0
Zm00001eb000170	1398	352	1020	278	811	250	855	309
Zm00001eb000180	0	0	0	0	0	0	0	0
Zm00001eb000190	1775	1074	1163	1015	1151	751	1206	1495
Zm00001eb000200	0	0	0	0	0	0	0	0
Zm00001eb000210	565	351	462	494	247	320	368	412
Zm00001eb000220	978	1089	633	866	774	909	906	912
Zm00001eb000230	589	587	384	694	276	331	363	485
Zm00001eb000240	129	63	102	89	56	58	58	72
Zm00001eb000250	0	0	1	0	0	0	1	0
Zm00001eb000270	0	166	0	219	4	115	0	247
Zm00001eb000290	0	0	0	0	0	0	0	0
Zm00001eb000300	3	99	2	107	1	78	3	102
Zm00001eb000310	3	105	2	113	7	84	8	103
Zm00001eb000320	2748	2491	1975	2637	1682	1570	2313	2148
Zm00001eb000330	65	81	97	80	60	53	81	112
Zm00001eb000340	7953	5462	4956	4810	6007	4610	6664	7774
Zm00001eb000360	0	0	0	0	0	0	0	0
Zm00001eb000370	2317	2463	1202	2636	1710	1737	2441	2552
Zm00001eb000380	3149	1543	855	841	203	216	765	365
Zm00001eb000390	16	18	10	15	11	35	22	23
Zm00001eb000400	111	14	77	25	27	4	99	10
Zm00001eb000410	2	0	4	2	0	0	0	1
Zm00001eb000420	582	248	231	206	250	163	224	280
Zm00001eb000430	0	0	0	0	0	0	0	0
Zm00001eb000440	0	0	1	0	3	0	0	0
Zm00001eb000450	3528	3316	4720	5693	5477	9601	5128	4926
Zm00001eb000460	0	0	0	0	0	0	0	0
Zm00001eb000470	0	1	0	0	0	0	0	0
Zm00001eb000480	6138	4090	4503	4721	5854	5582	5983	5573
Zm00001eb000490	5686	3100	2353	1950	4035	2713	3485	3797
Zm00001eb000500	237	122	189	162	165	91	148	175
Zm00001eb000510	66	87	120	116	74	70	76	81
Zm00001eb000520	1756	1743	1492	1870	1120	1283	1254	2215
Zm00001eb000530	0	0	0	0	0	0	0	0
Zm00001eb000540	17	26	30	32	9	12	14	24
Zm00001eb000550	577	625	279	484	456	489	417	626
Zm00001eb000560	67	0	54	0	45	0	45	0
Zm00001eb000570	297	202	114	166	85	42	128	107
Zm00001eb000580	18	57	103	125	13	80	80	125
Zm00001eb000590	2168	1936	1690	1885	1342	1816	1767	2252
Zm00001eb000600	220	126	248	287	200	179	206	155
Zm00001eb000620	895	717	972	980	910	656	790	836
Zm00001eb000630	0	0	0	0	0	0	0	0
Zm00001eb000640	71	73	66	118	51	68	64	96
Zm00001eb000650	173	91	101	112	155	70	76	119
Zm00001eb000660	275	337	210	3153	77	656	131	364
Zm00001eb000670	1630	1412	1917	1763	1076	966	1424	1340
Zm00001eb000680	50	60	77	52	40	30	32	83
Zm00001eb000690	1425	1368	1220	1336	1266	1456	1377	1806
Zm00001eb000700	1916	1363	1132	1315	1298	1257	1655	1641
Zm00001eb000710	338	331	275	306	259	284	321	385
Zm00001eb000720	135	123	148	68	168	73	95	85
Zm00001eb000740	216	189	220	177	92	132	90	179
Zm00001eb000750	66	42	44	33	24	29	19	27
Zm00001eb000760	2	2	0	2	3	0	0	2
Zm00001eb000770	507	1512	1478	2248	407	1003	759	1033
Zm00001eb000780	1741	1600	1148	1561	1555	1320	1597	1785
Zm00001eb000790	160	166	145	255	102	110	164	170
Zm00001eb000800	1771	1328	1140	918	1801	1189	1745	1576
Zm00001eb000810	0	0	0	0	0	0	0	0
Zm00001eb000820	580	383	508	500	316	340	437	466
Zm00001eb000830	0	0	0	4	0	1	0	9
Zm00001eb000840	1394	234	886	199	909	322	1549	333
Zm00001eb000850	2156	1790	1907	3675	950	571	1707	1372
Zm00001eb000860	3543	2784	2627	2859	1835	1933	2604	2715
Zm00001eb000870	2674	1883	2246	2165	2366	2100	2413	2807
Zm00001eb000880	793	970	599	965	914	1350	586	979
Zm00001eb000890	798	580	448	277	619	379	540	702
Zm00001eb000900	253	132	165	143	169	107	79	79
Zm00001eb000910	420	478	236	475	246	309	321	437
Zm00001eb000920	1996	1708	2001	2516	1677	1289	1932	2055
Zm00001eb000930	50	124	36	96	81	79	57	54
Zm00001eb000940	0	0	0	0	0	0	0	0
Zm00001eb000960	65	47	57	75	41	25	34	74
Zm00001eb000970	1264	1446	758	1002	1170	1639	1390	2107
Zm00001eb000980	245	388	263	529	400	440	290	506
Zm00001eb000990	901	773	536	712	308	543	664	838
Zm00001eb001000	776	758	874	840	570	515	568	864
Zm00001eb001010	354	310	486	396	188	213	260	307
Zm00001eb001020	21	74	35	74	31	37	27	50
Zm00001eb001030	9	0	7	0	28	0	32	0
Zm00001eb001040	1223	866	1161	1330	1016	1170	1303	1080
Zm00001eb001050	284	322	152	387	276	371	302	399
Zm00001eb001060	136	66	57	79	51	20	66	40
Zm00001eb001070	653	456	509	419	559	417	705	682
Zm00001eb001090	21	22	13	34	6	37	22	49
Zm00001eb001100	1	0	0	2	0	0	0	0
Zm00001eb001110	1493	1279	1074	1153	1486	1311	1532	1649
Zm00001eb001120	45	171	21	70	16	25	26	44
Zm00001eb001130	232	217	257	261	172	224	197	273
Zm00001eb001140	220	102	104	31	135	41	84	42
Zm00001eb001150	0	0	0	0	0	0	0	0
Zm00001eb001160	9	5	2	7	5	4	3	5
Zm00001eb001170	440	49	178	38	266	46	338	60
