Zm00001eb000010	465
Zm00001eb000020	1474
Zm00001eb000050	0
Zm00001eb000060	0
Zm00001eb000070	220
Zm00001eb000080	663
Zm00001eb000100	0
Zm00001eb000110	7
Zm00001eb000120	22
Zm00001eb000140	40
Zm00001eb000150	0
Zm00001eb000170	1398
Zm00001eb000180	0
Zm00001eb000190	1775
Zm00001eb000200	0
Zm00001eb000210	565
Zm00001eb000220	978
Zm00001eb000230	589
Zm00001eb000240	129
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	3
Zm00001eb000310	3
Zm00001eb000320	2748
Zm00001eb000330	65
Zm00001eb000340	7953
Zm00001eb000360	0
Zm00001eb000370	2317
Zm00001eb000380	3149
Zm00001eb000390	16
Zm00001eb000400	111
Zm00001eb000410	2
Zm00001eb000420	582
Zm00001eb000430	0
Zm00001eb000440	0
Zm00001eb000450	3528
Zm00001eb000460	0
Zm00001eb000470	0
Zm00001eb000480	6138
Zm00001eb000490	5686
Zm00001eb000500	237
Zm00001eb000510	66
Zm00001eb000520	1756
Zm00001eb000530	0
Zm00001eb000540	17
Zm00001eb000550	577
Zm00001eb000560	67
Zm00001eb000570	297
Zm00001eb000580	18
Zm00001eb000590	2168
Zm00001eb000600	220
Zm00001eb000620	895
Zm00001eb000630	0
Zm00001eb000640	71
Zm00001eb000650	173
Zm00001eb000660	275
Zm00001eb000670	1630
Zm00001eb000680	50
Zm00001eb000690	1425
Zm00001eb000700	1916
Zm00001eb000710	338
Zm00001eb000720	135
Zm00001eb000740	216
Zm00001eb000750	66
Zm00001eb000760	2
Zm00001eb000770	507
Zm00001eb000780	1741
Zm00001eb000790	160
Zm00001eb000800	1771
Zm00001eb000810	0
Zm00001eb000820	580
Zm00001eb000830	0
Zm00001eb000840	1394
Zm00001eb000850	2156
Zm00001eb000860	3543
Zm00001eb000870	2674
Zm00001eb000880	793
Zm00001eb000890	798
Zm00001eb000900	253
Zm00001eb000910	420
Zm00001eb000920	1996
Zm00001eb000930	50
