""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0001101"	"GO:0001101"	"response to acid chemical"	"15/670"	"38/7535"	3.26173440206751e-07	0.000107202337347952	0.000103459926297159	"LOC100191445/LOC542434/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC542251/LOC100192827"	15
"GO:0009414"	"GO:0009414"	"response to water deprivation"	"15/670"	"38/7535"	3.26173440206751e-07	0.000107202337347952	0.000103459926297159	"LOC100191445/LOC542434/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC542251/LOC100192827"	15
"GO:0009415"	"GO:0009415"	"response to water"	"15/670"	"38/7535"	3.26173440206751e-07	0.000107202337347952	0.000103459926297159	"LOC100191445/LOC542434/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC542251/LOC100192827"	15
"GO:0006334"	"GO:0006334"	"nucleosome assembly"	"13/670"	"30/7535"	5.57433443726885e-07	0.000137407343878677	0.000132610482402396	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100383454/LOC542123"	13
"GO:0034728"	"GO:0034728"	"nucleosome organization"	"13/670"	"31/7535"	8.82652777087238e-07	0.000174059127641603	0.000167982760102497	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100383454/LOC542123"	13
"GO:1902074"	"GO:1902074"	"response to salt"	"15/670"	"45/7535"	4.02271513308194e-06	0.000661066186869799	0.000637988505316855	"LOC100191445/LOC542434/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC542251/LOC100192827"	15
"GO:0006338"	"GO:0006338"	"chromatin remodeling"	"20/670"	"77/7535"	8.19178735611363e-06	0.00115387176187543	0.00111359034134236	"LOC100502463/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100279850/LOC103504718/LOC100383454/LOC542123/LOC542659/LOC100280056/LOC103640981/LOC103641317"	20
"GO:0006325"	"GO:0006325"	"chromatin organization"	"24/670"	"108/7535"	1.91778819990148e-05	0.00236367395637857	0.00228115859567228	"LOC100191229/LOC100502463/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100279850/LOC103504718/LOC100383454/LOC100382843/LOC100280991/LOC542123/LOC542659/LOC100280056/LOC103640981/LOC100283897/LOC103641317"	24
"GO:0065004"	"GO:0065004"	"protein-DNA complex assembly"	"13/670"	"47/7535"	0.000157796974464846	0.017287535202482	0.0166840309843533	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100383454/LOC542123"	13
"GO:0071824"	"GO:0071824"	"protein-DNA complex organization"	"24/670"	"126/7535"	0.000254005407517703	0.0250449331812455	0.0241706198311583	"LOC100191229/LOC100502463/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100279850/LOC103504718/LOC100383454/LOC100382843/LOC100280991/LOC542123/LOC542659/LOC100280056/LOC103640981/LOC100283897/LOC103641317"	24
"GO:0010035"	"GO:0010035"	"response to inorganic substance"	"20/670"	"98/7535"	0.000318877177264867	0.0285829906166508	0.0275851644255923	"LOC100284195/LOC100192117/LOC100191445/LOC100282375/LOC100280524/LOC542434/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC542251/LOC103634805/LOC100192827"	20
"GO:0043207"	"GO:0043207"	"response to external biotic stimulus"	"27/670"	"165/7535"	0.00130645795206483	0.0922562177959596	0.0890355726353662	"LOC103632470/LOC100284195/LOC100192117/LOC100279924/LOC100191445/lox6/LOC100193522/LOC100285987/LOC100283098/LOC100284997/LOC100281754/LOC103646882/LOC100280533/LOC103648229/LOC103648284/LOC103650703/LOC100283788/LOC103651136/LOC100282745/LOC100191593/LOC103652814/LOC100279535/LOC100275583/LOC103640692/LOC109939211/LOC100384031/LOC103640718"	27
