""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0000786"	"GO:0000786"	"nucleosome"	"20/638"	"60/7601"	3.80284057645323e-08	8.17610723937444e-06	8.04601006175894e-06	"LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100274083/LOC100383454/LOC103629234/LOC542123"	20
"GO:0000785"	"GO:0000785"	"chromatin"	"25/638"	"114/7601"	6.01551327581563e-06	0.000442431865625038	0.000435391946098569	"LOC100216608/LOC100502463/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100274083/LOC103654986/LOC100383454/LOC100192364/LOC103629234/LOC542123/LOC100273149"	25
"GO:0032993"	"GO:0032993"	"protein-DNA complex"	"28/638"	"136/7601"	6.17346789244239e-06	0.000442431865625038	0.000435391946098569	"LOC100216608/LOC100502463/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100274083/LOC100285950/LOC103654986/LOC100383454/LOC100192364/LOC103629234/LOC100276461/LOC542123/LOC100273584/LOC100273149"	28
"GO:0005694"	"GO:0005694"	"chromosome"	"34/638"	"190/7601"	1.6430121743704e-05	0.000883119043724093	0.000869066965916977	"LOC100274087/LOC100216608/LOC100193587/LOC100502463/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC100502424/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100274083/LOC103653964/LOC100285950/LOC103654986/LOC100383454/LOC100192364/LOC103629234/LOC542102/LOC100276461/LOC542123/LOC100273584/LOC100273149/LOC100304299"	34
"GO:0005777"	"GO:0005777"	"peroxisome"	"13/638"	"59/7601"	0.000986162601701953	0.0353374932276533	0.0347752075337004	"LOC100284553/LOC100283760/LOC100285987/LOC100273992/LOC100272552/LOC100194278/LOC100275595/LOC100192700/LOC103629626/LOC103630229/LOC100279535/LOC100192936/LOC100277871"	13
"GO:0042579"	"GO:0042579"	"microbody"	"13/638"	"59/7601"	0.000986162601701953	0.0353374932276533	0.0347752075337004	"LOC100284553/LOC100283760/LOC100285987/LOC100273992/LOC100272552/LOC100194278/LOC100275595/LOC100192700/LOC103629626/LOC103630229/LOC100279535/LOC100192936/LOC100277871"	13
"GO:0015629"	"GO:0015629"	"actin cytoskeleton"	"6/638"	"25/7601"	0.0151779205158654	0.466178987273008	0.458761206569765	"LOC100285480/LOC542584/LOC100285122/LOC103627016/LOC103627019/LOC103637828"	6
"GO:0000313"	"GO:0000313"	"organellar ribosome"	"5/638"	"21/7601"	0.0269390401856631	0.68111221996733	0.670274449025378	"LOC100276267/LOC100278182/LOC103654828/LOC103654826/LOC542341"	5
"GO:0005686"	"GO:0005686"	"U2 snRNP"	"4/638"	"15/7601"	0.0317862912101901	0.68111221996733	0.670274449025378	"LOC100383254/LOC100272538/LOC100382393/LOC103632101"	4
"GO:0098552"	"GO:0098552"	"side of membrane"	"5/638"	"23/7601"	0.0387916400815508	0.68111221996733	0.670274449025378	"LOC103654298/LOC100384589/LOC103627676/LOC100282900/LOC100285354"	5
