""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009295"	"GO:0009295"	"nucleoid"	"2/139"	"10/7601"	0.0135713200212955	0.660115202246571	0.653984101296913	"LOC103649620/LOC732792"	2
"GO:0009507"	"GO:0009507"	"chloroplast"	"14/139"	"443/7601"	0.0314313289690333	0.660115202246571	0.653984101296913	"LOC100191772/LOC100281890/LOC100285733/LOC100191385/LOC101027256/LOC100284094/LOC103649620/LOC606466/LOC100191499/LOC100281431/LOC732792/LOC100501361/LOC100279779/LOC103636169"	14
"GO:0005618"	"GO:0005618"	"cell wall"	"3/139"	"39/7601"	0.033875396618207	0.660115202246571	0.653984101296913	"LOC100194034/LOC100273283/LOC542505"	3
"GO:0009505"	"GO:0009505"	"plant-type cell wall"	"3/139"	"39/7601"	0.033875396618207	0.660115202246571	0.653984101296913	"LOC100194034/LOC100273283/LOC542505"	3
"GO:0030312"	"GO:0030312"	"external encapsulating structure"	"3/139"	"41/7601"	0.038492319406029	0.660115202246571	0.653984101296913	"LOC100194034/LOC100273283/LOC542505"	3
"GO:0009532"	"GO:0009532"	"plastid stroma"	"4/139"	"70/7601"	0.0388303060145042	0.660115202246571	0.653984101296913	"LOC100191385/LOC103649620/LOC606466/LOC732792"	4
"GO:0005576"	"GO:0005576"	"extracellular region"	"8/139"	"252/7601"	0.0903188191884441	0.958786787864799	0.949881647420234	"LOC103630483/LOC100194034/LOC100285709/LOC100273283/LOC100272870/LOC100191620/LOC103627834/LOC542505"	8
"GO:0009570"	"GO:0009570"	"chloroplast stroma"	"3/139"	"67/7601"	0.123662648401677	0.958786787864799	0.949881647420234	"LOC100191385/LOC606466/LOC732792"	3
"GO:0005911"	"GO:0005911"	"cell-cell junction"	"2/139"	"38/7601"	0.152758300324385	0.958786787864799	0.949881647420234	"LOC100282601/LOC103636450"	2
"GO:0009506"	"GO:0009506"	"plasmodesma"	"2/139"	"38/7601"	0.152758300324385	0.958786787864799	0.949881647420234	"LOC100282601/LOC103636450"	2
"GO:0030054"	"GO:0030054"	"cell junction"	"2/139"	"38/7601"	0.152758300324385	0.958786787864799	0.949881647420234	"LOC100282601/LOC103636450"	2
"GO:0055044"	"GO:0055044"	"symplast"	"2/139"	"38/7601"	0.152758300324385	0.958786787864799	0.949881647420234	"LOC100282601/LOC103636450"	2
"GO:0070161"	"GO:0070161"	"anchoring junction"	"2/139"	"38/7601"	0.152758300324385	0.958786787864799	0.949881647420234	"LOC100282601/LOC103636450"	2
"GO:0031984"	"GO:0031984"	"organelle subcompartment"	"7/139"	"254/7601"	0.183093905476767	0.958786787864799	0.949881647420234	"LOC103630932/LOC100272381/LOC103654846/LOC100216823/LOC100283950/LOC732747/LOC100191150"	7
