""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0012506"	"GO:0012506"	"vesicle membrane"	"6/92"	"82/7601"	0.000446355408511085	0.0123259842057321	0.0103102687435166	"LOC100281970/LOC100192009/LOC103635827/LOC100284948/LOC100384187/LOC100191479"	6
"GO:0030659"	"GO:0030659"	"cytoplasmic vesicle membrane"	"6/92"	"82/7601"	0.000446355408511085	0.0123259842057321	0.0103102687435166	"LOC100281970/LOC100192009/LOC103635827/LOC100284948/LOC100384187/LOC100191479"	6
"GO:0030125"	"GO:0030125"	"clathrin vesicle coat"	"3/92"	"13/7601"	0.000449530923036166	0.0123259842057321	0.0103102687435166	"LOC100281970/LOC100192009/LOC100384187"	3
"GO:0030665"	"GO:0030665"	"clathrin-coated vesicle membrane"	"3/92"	"13/7601"	0.000449530923036166	0.0123259842057321	0.0103102687435166	"LOC100281970/LOC100192009/LOC100384187"	3
"GO:0098588"	"GO:0098588"	"bounding membrane of organelle"	"14/92"	"426/7601"	0.000550267152041614	0.0123259842057321	0.0103102687435166	"LOC103640332/LOC100281970/LOC100272345/LOC100191922/LOC100501548/LOC100192009/LOC103635827/LOC103636525/LOC100285419/LOC100282263/LOC100284948/LOC103639503/LOC100384187/LOC100191479"	14
"GO:0005856"	"GO:0005856"	"cytoskeleton"	"8/92"	"171/7601"	0.00103965232973647	0.019406843488414	0.0162331679555343	"LOC103625937/LOC100284092/LOC100273404/LOC103629275/LOC100191561/LOC103629276/LOC103635981/LOC103638112"	8
"GO:0030118"	"GO:0030118"	"clathrin coat"	"3/92"	"20/7601"	0.00168517936113621	0.0269628697781793	0.0225535282918981	"LOC100281970/LOC100192009/LOC100384187"	3
"GO:0031410"	"GO:0031410"	"cytoplasmic vesicle"	"7/92"	"169/7601"	0.00425675528027326	0.0495603580910845	0.041455562688971	"LOC100281970/LOC100192009/LOC100381821/LOC103635827/LOC100284948/LOC100384187/LOC100191479"	7
"GO:0097708"	"GO:0097708"	"intracellular vesicle"	"7/92"	"169/7601"	0.00425675528027326	0.0495603580910845	0.041455562688971	"LOC100281970/LOC100192009/LOC100381821/LOC103635827/LOC100284948/LOC100384187/LOC100191479"	7
"GO:0030136"	"GO:0030136"	"clathrin-coated vesicle"	"3/92"	"28/7601"	0.00451588787478008	0.0495603580910845	0.041455562688971	"LOC100281970/LOC100192009/LOC100384187"	3
"GO:0030120"	"GO:0030120"	"vesicle coat"	"3/92"	"29/7601"	0.00499325804390856	0.0495603580910845	0.041455562688971	"LOC100281970/LOC100192009/LOC100384187"	3
"GO:0031982"	"GO:0031982"	"vesicle"	"7/92"	"176/7601"	0.00531003836690191	0.0495603580910845	0.041455562688971	"LOC100281970/LOC100192009/LOC100381821/LOC103635827/LOC100284948/LOC100384187/LOC100191479"	7
"GO:0000139"	"GO:0000139"	"Golgi membrane"	"7/92"	"184/7601"	0.00674190619751596	0.0580841149324452	0.0485853968889814	"LOC103640332/LOC100272345/LOC100501548/LOC100285419/LOC100282263/LOC100284948/LOC100191479"	7
"GO:0030131"	"GO:0030131"	"clathrin adaptor complex"	"2/92"	"12/7601"	0.00883897877079025	0.070711830166322	0.0591480534285964	"LOC100281970/LOC100384187"	2
