""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006334"	"GO:0006334"	"nucleosome assembly"	"11/35"	"30/7535"	1.94987747979218e-19	2.30529365920009e-17	1.95081609963268e-17	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0034728"	"GO:0034728"	"nucleosome organization"	"11/35"	"31/7535"	3.01345576366024e-19	2.30529365920009e-17	1.95081609963268e-17	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0001101"	"GO:0001101"	"response to acid chemical"	"11/35"	"38/7535"	4.19548614508595e-18	1.2838187603963e-16	1.08641009651699e-16	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0009414"	"GO:0009414"	"response to water deprivation"	"11/35"	"38/7535"	4.19548614508595e-18	1.2838187603963e-16	1.08641009651699e-16	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0009415"	"GO:0009415"	"response to water"	"11/35"	"38/7535"	4.19548614508595e-18	1.2838187603963e-16	1.08641009651699e-16	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:1902074"	"GO:1902074"	"response to salt"	"11/35"	"45/7535"	3.46706851681035e-17	8.84102471786639e-16	7.48156890469601e-16	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0065004"	"GO:0065004"	"protein-DNA complex assembly"	"11/35"	"47/7535"	5.9141879875012e-17	1.29267251726812e-15	1.09390243979346e-15	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0006338"	"GO:0006338"	"chromatin remodeling"	"11/35"	"77/7535"	2.07708964354646e-14	3.9724339432826e-13	3.36160560731861e-13	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0006325"	"GO:0006325"	"chromatin organization"	"12/35"	"108/7535"	2.55569879010939e-14	4.34468794318596e-13	3.67661931208719e-13	"LOC100192747/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0071824"	"GO:0071824"	"protein-DNA complex organization"	"12/35"	"126/7535"	1.69490699677785e-13	2.59320770507011e-12	2.19445853267027e-12	"LOC100192747/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
