""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006412"	"GO:0006412"	"translation"	"92/405"	"377/7535"	7.36789372648021e-38	5.82800393764585e-35	5.60735490973178e-35	"LOC100282717/LOC103647262/LOC103633261/LOC103633247/LOC103633583/LOC100274313/LOC100274533/LOC100282096/LOC100283274/LOC100217171/LOC100282419/LOC542552/LOC110485086/LOC100284082/LOC103646106/LOC100280393/LOC103646667/LOC103647029/LOC101027258/LOC103646454/LOC103647030/LOC100383212/LOC100216708/LOC100281990/LOC100280597/LOC100383287/LOC542537/LOC542601/LOC542640/LOC542747/LOC103650892/LOC100282430/LOC100194265/LOC100273601/LOC100282819/LOC100216896/LOC100191612/LOC103653691/LOC100281960/LOC100285759/LOC100194224/LOC100303995/LOC100193874/LOC100281952/LOC100383520/LOC100282104/LOC100193696/LOC100278608/LOC100193262/LOC103625791/LOC100273341/LOC103626016/LOC542298/LOC542339/LOC100286120/LOC100272886/LOC100280512/LOC103629631/LOC100192550/LOC103629630/LOC100286309/LOC100280771/LOC100273441/LOC100193240/LOC101027156/LOC103644248/LOC100192600/LOC103625771/LOC103630443/LOC100281110/LOC100282387/LOC103632085/LOC100191681/LOC100284016/LOC100286357/LOC100192778/LOC100192878/LOC100285944/LOC100281129/LOC100286074/LOC100194313/LOC542323/LOC542337/LOC100284824/LOC100192774/LOC103639054/LOC100274227/LOC100273909/LOC103640907/LOC100282772/LOC100286075/LOC100192625"	92
"GO:0043043"	"GO:0043043"	"peptide biosynthetic process"	"92/405"	"380/7535"	1.48636940140073e-37	5.87859098253989e-35	5.65602672217225e-35	"LOC100282717/LOC103647262/LOC103633261/LOC103633247/LOC103633583/LOC100274313/LOC100274533/LOC100282096/LOC100283274/LOC100217171/LOC100282419/LOC542552/LOC110485086/LOC100284082/LOC103646106/LOC100280393/LOC103646667/LOC103647029/LOC101027258/LOC103646454/LOC103647030/LOC100383212/LOC100216708/LOC100281990/LOC100280597/LOC100383287/LOC542537/LOC542601/LOC542640/LOC542747/LOC103650892/LOC100282430/LOC100194265/LOC100273601/LOC100282819/LOC100216896/LOC100191612/LOC103653691/LOC100281960/LOC100285759/LOC100194224/LOC100303995/LOC100193874/LOC100281952/LOC100383520/LOC100282104/LOC100193696/LOC100278608/LOC100193262/LOC103625791/LOC100273341/LOC103626016/LOC542298/LOC542339/LOC100286120/LOC100272886/LOC100280512/LOC103629631/LOC100192550/LOC103629630/LOC100286309/LOC100280771/LOC100273441/LOC100193240/LOC101027156/LOC103644248/LOC100192600/LOC103625771/LOC103630443/LOC100281110/LOC100282387/LOC103632085/LOC100191681/LOC100284016/LOC100286357/LOC100192778/LOC100192878/LOC100285944/LOC100281129/LOC100286074/LOC100194313/LOC542323/LOC542337/LOC100284824/LOC100192774/LOC103639054/LOC100274227/LOC100273909/LOC103640907/LOC100282772/LOC100286075/LOC100192625"	92
"GO:0006518"	"GO:0006518"	"peptide metabolic process"	"93/405"	"395/7535"	6.61651746042616e-37	1.74455510373236e-34	1.67850600838179e-34	"LOC100282717/LOC103647262/LOC103633261/LOC103633247/LOC103633583/LOC100274313/LOC100274533/LOC100282096/LOC100283274/LOC100217171/LOC100282419/LOC542552/LOC110485086/LOC100284082/LOC103646106/LOC100282505/LOC100280393/LOC103646667/LOC103647029/LOC101027258/LOC103646454/LOC103647030/LOC100383212/LOC100216708/LOC100281990/LOC100280597/LOC100383287/LOC542537/LOC542601/LOC542640/LOC542747/LOC103650892/LOC100282430/LOC100194265/LOC100273601/LOC100282819/LOC100216896/LOC100191612/LOC103653691/LOC100281960/LOC100285759/LOC100194224/LOC100303995/LOC100193874/LOC100281952/LOC100383520/LOC100282104/LOC100193696/LOC100278608/LOC100193262/LOC103625791/LOC100273341/LOC103626016/LOC542298/LOC542339/LOC100286120/LOC100272886/LOC100280512/LOC103629631/LOC100192550/LOC103629630/LOC100286309/LOC100280771/LOC100273441/LOC100193240/LOC101027156/LOC103644248/LOC100192600/LOC103625771/LOC103630443/LOC100281110/LOC100282387/LOC103632085/LOC100191681/LOC100284016/LOC100286357/LOC100192778/LOC100192878/LOC100285944/LOC100281129/LOC100286074/LOC100194313/LOC542323/LOC542337/LOC100284824/LOC100192774/LOC103639054/LOC100274227/LOC100273909/LOC103640907/LOC100282772/LOC100286075/LOC100192625"	93
"GO:0043604"	"GO:0043604"	"amide biosynthetic process"	"95/405"	"419/7535"	2.84641447857328e-36	5.62878463137865e-34	5.41567807370652e-34	"LOC100282717/LOC103647262/LOC103633261/LOC103633247/LOC103633583/LOC100274313/LOC100274533/LOC100282096/LOC100283274/LOC100217171/LOC100282419/LOC103644210/LOC542552/LOC110485086/LOC100284082/LOC103646106/LOC100280393/LOC103646667/LOC103647029/LOC101027258/LOC103646454/LOC103647030/LOC100383212/LOC100216708/LOC100281990/LOC100280597/LOC100383287/LOC542537/LOC542601/LOC542640/LOC542747/LOC103650892/LOC100282430/LOC100194265/LOC100273601/LOC100282819/LOC100216896/LOC100191612/LOC103653691/LOC100281960/LOC100285759/LOC100194224/LOC100303995/LOC100193874/LOC100281952/LOC100383520/LOC100282104/LOC100193696/LOC100278608/LOC100193262/LOC103625791/LOC100273341/LOC103626016/LOC542298/LOC542339/LOC100286120/LOC100272886/LOC100280512/LOC103629631/LOC100192550/LOC103629630/LOC100286309/LOC100280771/LOC100273441/LOC100193240/LOC101027156/LOC103644248/LOC100192600/LOC103625771/LOC103630443/LOC100281110/LOC100282387/LOC103632085/LOC100191681/LOC542607/LOC100284016/LOC100286357/LOC100192778/LOC100192878/LOC100285944/LOC100283732/LOC100281129/LOC100286074/LOC100194313/LOC542323/LOC542337/LOC100284824/LOC100192774/LOC103639054/LOC100274227/LOC100273909/LOC103640907/LOC100282772/LOC100286075/LOC100192625"	95
"GO:0043603"	"GO:0043603"	"amide metabolic process"	"98/405"	"471/7535"	4.1738538019444e-34	6.60303671467604e-32	6.35304483959116e-32	"LOC100282717/LOC103647262/LOC103633261/LOC103633247/LOC103633583/LOC100274313/LOC100274533/LOC100282096/LOC100283274/LOC100217171/LOC100282419/LOC103644210/LOC542552/LOC110485086/LOC100284082/LOC103646106/LOC100282505/LOC100284269/LOC100280393/LOC103646667/LOC103647029/LOC101027258/LOC103646454/LOC103647030/LOC100383212/LOC100216708/LOC100281990/LOC100280597/LOC100383287/LOC542537/LOC542601/LOC542640/LOC542747/LOC103650892/LOC100282430/LOC100194265/LOC100273601/LOC100282819/LOC100216896/LOC100191612/LOC103653691/LOC100281960/LOC100285759/LOC100194224/LOC100303995/LOC100193874/LOC100281952/LOC100383520/LOC100282104/LOC100193696/LOC100278608/LOC100193262/LOC103625791/LOC100273341/LOC103626016/LOC542298/LOC542339/LOC100286120/LOC100272886/LOC100280512/LOC103629631/LOC100192550/LOC103629630/LOC100286309/LOC100280771/LOC100273441/LOC100193240/LOC101027156/LOC103644248/LOC100192600/LOC103625771/LOC103630443/LOC100193220/LOC100281110/LOC100282387/LOC103632085/LOC100191681/LOC542607/LOC100284016/LOC100286357/LOC100192778/LOC100192878/LOC100285944/LOC100283732/LOC100281129/LOC100286074/LOC100194313/LOC542323/LOC542337/LOC100284824/LOC100192774/LOC103639054/LOC100274227/LOC100273909/LOC103640907/LOC100282772/LOC100286075/LOC100192625"	98
"GO:0002181"	"GO:0002181"	"cytoplasmic translation"	"21/405"	"57/7535"	4.65129374178406e-13	6.13195558291865e-11	5.89979890405241e-11	"LOC100282096/LOC103646106/LOC100281990/LOC100383287/LOC542747/LOC100273601/LOC100282819/LOC100191612/LOC103653691/LOC100285759/LOC100286120/LOC100272886/LOC100281110/LOC100191681/LOC100284016/LOC100192778/LOC100194313/LOC542323/LOC542337/LOC100284824/LOC100273909"	21
"GO:0022618"	"GO:0022618"	"protein-RNA complex assembly"	"20/405"	"76/7535"	1.70687502594756e-09	1.92876877932074e-07	1.85574532896253e-07	"LOC100282096/LOC100274446/LOC103646106/LOC100383287/LOC542747/LOC103650892/LOC100273601/LOC100286216/LOC100191612/LOC103653691/LOC542298/LOC100216595/LOC100272886/LOC100280771/LOC100193240/LOC100281110/LOC100282387/LOC103639054/LOC100273909/LOC100193106"	20
"GO:0071826"	"GO:0071826"	"protein-RNA complex organization"	"20/405"	"77/7535"	2.19332007500858e-09	2.16864522416473e-07	2.08654001872527e-07	"LOC100282096/LOC100274446/LOC103646106/LOC100383287/LOC542747/LOC103650892/LOC100273601/LOC100286216/LOC100191612/LOC103653691/LOC542298/LOC100216595/LOC100272886/LOC100280771/LOC100193240/LOC100281110/LOC100282387/LOC103639054/LOC100273909/LOC100193106"	20
"GO:0022613"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	"33/405"	"212/7535"	2.38997142467722e-08	2.10051932991076e-06	2.02099338016565e-06	"LOC100282096/LOC100274446/LOC100217171/LOC100191368/LOC103646106/LOC100383287/LOC542747/LOC103650892/LOC100194265/LOC100273601/LOC100277089/LOC100286216/LOC100191612/LOC103653691/LOC100284070/LOC542298/LOC100216667/LOC100216595/LOC100272886/LOC100280771/LOC100193240/LOC100281110/LOC100282387/LOC100191832/LOC100192774/LOC103639054/LOC100274227/LOC100303837/LOC100273909/LOC100286075/LOC100192625/LOC100193106/LOC103642006"	33
"GO:0000027"	"GO:0000027"	"ribosomal large subunit assembly"	"8/405"	"12/7535"	2.66458809412883e-08	2.10768918245591e-06	2.02789178111068e-06	"LOC100274446/LOC103650892/LOC100273601/LOC100191612/LOC103653691/LOC542298/LOC100216595/LOC100280771"	8
